,text,sentiment,labels,ca_related,day,filter_type
0,"@JustinTrudeau The first case of the Omicron variant was from someone who had previously had the Moderna vaccine. Noble Prize Winner, Dr. Montagnier, predicted the mutations would come from the vaccines…you idiot!
#Arresttrudeau #OmicronVarient #TrudeauNationalDisgrace #NoVaccinePassports https://t.co/BbWFjgt3A6",neg,vax-efficiency,ca,01_dec,gvmnt
1,@JustinTrudeau COVAXIN IS THE SAFEST VACCINE IN THE WORLD .NO SEVERE SIDE AFFECTS OR DEATH IN 250 MILLION DOSES .ANYONE THAT GETS MYOCARDITIS FROM VACCINES IS NOT IMPORTANT TO YOUR GOVERMENT BUT IT IS TO PARENTS AND KIDS THAT DO,pos,vax-efficiency,ca,01_dec,gvmnt
2,@JustinTrudeau When is someone going to investigate the money behind this vaccine push? I’m thinking treason is in your near future. Canada will not protect u,neg,covid-controversy,ca,01_dec,gvmnt
3,@shuffles99 @cyruskevinj @JustinTrudeau Actually no one knows long term covid risks nor the vaccine that's been created to keep people safe from it...,neg,vax-efficiency,ca,01_dec,gvmnt
4,@ruralsasknews @JustinTrudeau i agree if vaccine is covaxin because no severe side affects or death from covaxin ..mrna can not say that,neg,vax-efficiency,ca,01_dec,gvmnt
5,"@Kennypj84 @ruralsasknews @JustinTrudeau And just like the Flu Vaccine seldom has the ability to stop the Flu virus, the vaccines are not guaranteed to work on the new variants... But Jennifer doesn't understand that...",neut,vax-efficiency,ca,01_dec,gvmnt
6,@ampahcd @fordnation @JustinTrudeau Reality has left. The vaccinated shouldn’t care; that’s the point of the vaccine. You’re good you’re protected. Canadians should be able to travel freely in our country.,pos,pandemic-logistics,ca,01_dec,gvmnt
7,"@powertoworld @NewsroomGC @CPHO_Canada If Canada would have allocated the billions of dollars they spent on vaccine promotions they could have easily shut the country down for a month, and afterwards have a mandatory quarantine after travel. IMO.",neg,pandemic-logistics,ca,01_dec,gvmnt
8,@MTW2478 @JustinTrudeau Why don't you try out an experiment. Ask a room full of people if they know someone who has had covid and then ask the same room full of people if they know someone who has had an adverse reactions from a 'vaccine'. See what happens,neg,vax-efficiency,ca,01_dec,gvmnt
9,@ScienceUpFirst @CPHO_Canada @CASC_ACCS @GovCanHealth @StanKutcher @CaulfieldTim @thisisourshotca @OttawaHealth @heysciencesam @CIHR_IRSC Do you care if the vaccines cause HEART ATTACKS? 🤡https://t.co/5IrbJmgRDq,neg,vax-efficiency,ca,01_dec,gvmnt
10,@Karen_UCE @aceAkillerBee @JustinTrudeau What a Karen kind of statement!!! Go say that to the young healthy boys who had their whole lives ahead of them that now have an enlarged hearts due to the vaccine. How do you justify their sacrifice for something with a 98% survival rate?,neg,vax-efficiency,ca,01_dec,gvmnt
11,"@jkenney @CanadianPM @erinotoole @JustinTrudeau : https://t.co/39xfUSBy1V  The #ethical thing to do is compensate and hire back workers who had their #humanrights possibly violated by the Totalitarian/bullying-style vaccine mandates, in my opinion. Cc: @mounties4free @FoxNews https://t.co/mV788db775",neg,pandemic-legal,ca,01_dec,gvmnt
