tweet_id,text,sentiment,labels,ca_related
1.465753003110056e+18,This is hilarious to me. I love being in Florida and living life normal!! No mask or vaccine. 😎 https://t.co/QloJjzGiLv,pos,pandemic-legal,non-ca
1.4657491704851374e+18,"#covid #corona
Japan high %vacc low cases.
Europe high %vacc high cases.
Australia high %vacc medium cases.
India middle %vacc low cases.
Africa, China, not sure about the data.

So it is not just the vaccine. Other things work too.

@OurWorldInData https://t.co/bM4A2sG7qn",pos,pandemic-logistics,non-ca
1.4657434927481364e+18,"But I am guessing her case is mild and she is not hospitalized on a ventilator. That's the protection of the vaccine. As Fauci says, the vaccine will most likely keep you out of the hospital and keep you from dying. The Data proves Fauci right. https://t.co/bt9w37Fayw",pos,vax-efficiency,na
1.4657477307105526e+18,"I don’t blame Ecuador for trying to be safe. I wish their requirements gave a little extra time for testing, but I blame every jackass who refused to stay home, where a goddamned mask, or get vaccinated. Go get your goddamn vaccine or booster. https://t.co/4u6prnDsOK",pos,pandemic-logistics,na
1.4657443225785958e+18,"The #OmicronVariant is cause for concern but not panic. The best way to protect yourself and others is to get the #COVID19 vaccine if you have not done so yet, or get the booster if you are eligible to receive it!

https://t.co/UKssiEQHrR",pos,pandemic-logistics,na
1.465743013007827e+18,European Commission: Vaccine Equality: a Global Response of Collaboration with Africa on COVID-19 - Sign the Petition! https://t.co/9I9vm3Qnos via @Change,pos,pandemic-legal,non-ca
1.4657504487370752e+18,"Vaccinated people will Vaccine again, lot of holes in your body hey...",pos,pandemic-logistics,na
1.4657534475050437e+18,"The Omicron variant could lead to more infections among vaccinated people but they will most likely remain protected from a severe course of illness, according to the BioNTech co-founder #omicron #vaccine #medical #healthcare #covid #virology #infection  https://t.co/3tLZESBWgN",pos,covid-new-variant,na
1.4657490040216494e+18,"I'm a proud Democrat that got my booster 6 months after my 2nd Pfizer vaccine. 
My whole house did and are 👍. https://t.co/XRLKyXkbGv",pos,pandemic-logistics,na
1.4657487539404595e+18,"The joke is on us. And you still think they complied, took the vaccine..!? Well, keep thinking that..!😅😂🤣🤣🤣🤣🤣 https://t.co/dZM3uV49xl",pos,covid-controversy,na
1.4657453375790408e+18,"She sits on committee for VACCINE PASSPORTS. TODAY They vote on IT aka DIGITAL VACCINE SYSTEM in OREGON. It’s coming. 
https://t.co/eniUNhEfc1 https://t.co/Pwx91o2NFK",pos,pandemic-legal,non-ca
1.4657486377792184e+18,Vaccine efficacy refers to a vaccine's ability to stimulate the production of antibodies by the immune immune system. That's pretty much it.,pos,vax-efficiency,na
1.4657481173958943e+18,"Coronavirus: Kiwis need to police vaccine requirements at private gatherings or face a fine, Health Minister Andrew Little warns  https://t.co/j90YG4ihBk",pos,pandemic-logistics,non-ca
