,text,sentiment,labels,ca_related
,"@gudjeon @CBCNews This isn’t a Vaccine, you do know that right? This is in STAGE 3 of a 5 STAGE trial, it’s purely EXPERIMENTAL. These “anti-vaxers” as you called them are just trying to save lives and the human race. TIME TO WAKE UP FROM THE HYPNOTIC SLEEP 💤,",pos,covid-controversy,ca
,@CBCNews And glad there’s no such thing as a vaccine resistant variant that could send countries into a flight suspension craze!! Vax pass will surely achieve what it intends to achieve. Vaccinated people can’t carry or transmit.,pos,pandemic-logistics,ca
,@realop60 @MomsHelper1 @CBCAlerts My vaccine protects me. Your vaccine protects you. Science.,pos,vax-efficiency,ca
,@contatra @hsmcknight @Murcut @CBCNews that's what happens when you claim a site like Vaers is evidence and you also say that SEVERAL people you know have been severely injured or killed by the vaccine even though the CDC can't find any....bullsht,pos,covid-controversy,ca
,"@cursed_oO @jessejamesrich @CBCAlerts @mini_bubbly Antivaxxer logic is such that only a perfect vaccine is necessary. We never needed perfect vaccines to beat polio, small pox etc...

We are done placating you people. The adults are making the decisions now.",pos,covid-controversy,ca
,@abbigailhannah @CBCNews @MayorAlMcDonald @NBPSDHealthUnit @NorthBayPolice @VictorFedeli I have seen a response from @VictorFedeli and agrees that this behaviour is unsavoury.  Even though I disagree with children receiving this vaccine I can appreciate your right to chose.,pos,covid-controversy,ca
,@VictoriaLCromp1 @CBCNews Good thing you have less of a chance getting myocarditis from the vaccine than the virus itself.,pos,vax-efficiency,ca
,"@DeadpanDolly @drshzam @CBCNews you literally said nothing about the difference or proof that vaxxed vs un vaxxed matters. Again, vaccine only protects you not others friend. Everyone will eventually get covid... simple as that. Vax reduces symptoms and risk to self, so you shouldn’t be scared of unvaxxed lol",pos,covid-controversy,ca
,"@contatra @hsmcknight @Murcut @CBCNews provide evidence that ANY of the death incidents reported in Vaers are a direct cause of the vaccine.

i'll wait.",neut,vax-efficiency,ca
,"@globeandmail The symptoms of the new variant according to South African doctors are sore muscles, tiredness and a slight cough lasting 2 days- do we really need a vaccine for such? I don’t think so, and you?",neut,covid-new-variant,non-ca
,"@CBCNews Which definition of "" vaccine""? The one the WHO change the meaning of to suit their trial jab narrative?",neut,covid-controversy,ca
,"@TDot_Beebs @CBCAlerts SA has enough vaccine, they've put their latest delivery on hold because the problem isn't insufficient vaccines but unwilling people.",neut,covid-controversy,non-ca
,@CBCNews Ford won't do that especially when his daughter keeps posting anti-vaccine videos containing conspiracy theories and misinformation https://t.co/xkmeT3PvOM,neut,covid-controversy,ca
,"@globeandmail to manufacture the vaccine, when they begged WTO, to relax the patent.

In fact you Jane reported a month before Canada was planning to export "" soon to expire"" vaccines to Africa.

I have to remember these https://t.co/spBNwW9AgS.",neut,pandemic-logistics,ca
,"@CBCNews Push governments to have pharma companies lift the pattents so the vaccine can be priduced everywhere.

If the pandemic is sooooo bad, mandate companies, not citizens.
If you don't... then is not that bad and you just play for these oligarchs.",neut,pandemic-legal,ca
,"@wandering_nick @globeandmail Ah, how classic. Resorting to name calling 🤷🏽‍♀️🤦🏽‍♀️ Even Moderna now admits that their vaccine might not be so effective against the Omnicron variant 🤷🏽‍♀️😔💔 https://t.co/q2buFGF3Rc",neut,covid-new-variant,ca
,"@wandering_nick @globeandmail Do you not have faith in your own vaccine....?🤔🤷🏽‍♀️ Is your vaccine not strong enough to protect you from even the greatest of threats...?🤔🤷🏽‍♀️Maybe you should stop pushing your vaxx on those who don’t need or want it, and start giving it to those who do...🤷🏽‍♀️ https://t.co/mpYrUXzZWN",neut,vax-efficiency,ca
,"@lenmac1 @univrsle @thecherrymix @CBCNews That comment didn't make sense. There person seems to think that vaccine mandates and their accompanying QR code is a myth. 

What part of that is untrue? You watch too much CBC.",neut,covid-controversy,ca
,@dennizenx @CBCNews Wait until all adverse vaccine side effects that they keep denying become symptoms of Omicron.,neut,vax-efficiency,ca
,"@CBCNews No one should be harassed and that should be reciprocal. This wouldn't be happening if people were permitted the freedom and autonomy to decide whether or not to take part in an experimental vaccine clinical trial, and whether or not to have a QR code identity.",neut,covid-controversy,ca
,@Nita4571909011 @CBCAlerts Too late? We haven’t even finished clinical trials of the vaccine,neut,pandemic-logistics,ca
,@CBCNews During COVID 19 vaccine trials some people received placebo vaccines. Unfortunately it is unknown who received placebo vaccines or who received real vaccines. Everyone who received a shot has a vaccine passport. This gives a false sense of security.,neut,pandemic-legal,ca
,@VOCMNEWS @CBCNews @JustinTrudeau Vaccine Mandates deemed unconstitutional in the great USA. Mandates blocked by the courts. They deemed it illegal and immoral to limit peoples movement based on vaccination status.  Ooops. No vaxpass in the USA.,neut,pandemic-legal,non-ca
,"@AceRoth08295246 @CBCAlerts Dido. Like I said.. move to Vegas Ace, since you love betting. The casinos there are mask free. Vaccine mandate free. Its where you belong man.. go..",neg,covid-controversy,ca
,"@CBCNews #CCPVirus  #BioWeapon  #CCPLiedPeopleDied 
the #COVID19 varaint is the ccp's bioweapon!
vaccine is useless because omicron can across it
the Antidote is the Artemisinin https://t.co/dVXIhSbkjG",neg,covid-controversy,ca
,"@CBCNews I've had trouble accessing medical treatment for my infant.  Denied care by multiple doctors and ended up at sick kids emergency.  Looks like the town got fed up with being denied medical care based on a 'vaccine' that doesn't stop or minimize spread, just as big pharma claims.",neg,covid-controversy,ca
,"@wandering_nick @globeandmail Because if your vaccine was truly half as good &amp; effective as it was toted to be... you wouldn’t need 3 doses of it, in less than a year, now would you...?🤔🤷🏽‍♀️ Even the Pneumococcal Pneu-P-23 vaccine, you typically only need 1 dose of, for life 🤷🏽‍♀️ (2/2) https://t.co/KP0S1OPxPU",neg,vax-efficiency,ca
,@JessicaBerlette @CBCNews The majority of people who got the vaccine had to have their freedoms stripped away in order to get a medical procedure they didn't need.,neg,pandemic-logistics,ca
,"@Murcut @CBCNews You’re a tin hat. 
I follow several vaccine passport opposition pages and attend the rallies. We don’t do any of this.",neg,covid-controversy,ca
,"@AprilFoolsRebel @SDonato89 @hoopstar245 @bumbaclot6969 @CBCNews It's proof that lockdowns, masks, and vaccine passports make things worse.

You were quick to use Florida as a bad example, too late to back out now.",neg,covid-controversy,non-ca
,"@CBCNews Divide and conquer.Divide and conquer.Divide and conquer.Divide and conquer. 
Why are you reporting this? She's 69 and retiring """"early"""" If you want to encourage people taking this mRNA vaccine, this is not how you do it.
How about pushing for a mRNA alternative? Like Novavax...",neg,covid-controversy,ca
,@CBCAlerts Doesn’t all the vaccinated get set back to ZERO now it’s time for a new so called vaccine for OMICRON 😂 you guys all got FUCT stop being the guinea pig,neg,covid-new-variant,ca
,"@Peevedoffparent @wayne39689851 @kerrybehave @deezed1 @CBCNews Propaganda, I’m against the vaccine you weed bag. Lol try to keep up bud. I know it’s hard to think for yourself when all you do is listen to the stupidity of the extreme right. 
But try to use common sense.",neg,covid-controversy,ca
,@ArthurDornville @globeandmail And a vaccine that doesn’t stop you from spreading it to the equally privileged air traveller in the seat next to you. #falsesenseofsecurity #propagandabrainwashing,neg,vax-efficiency,ca
,@CBCNews The doctor straight up admits in the article that she treated unvaccinated patients differently. For the safety of the vaccinated ? What a joke. If the vaccine works then why you need to protect the vaccinated ? Wake up people,neg,vax-efficiency,ca
,"@hoopstar245 @btcbastard @CBCNews then why are we letting go so many health care workers?
please explain that because if the vaccine doesn't keep you from getting/spreading but is designed to keep the hospitals from crashing SURELY you would fire a bunch of your workers...but ok ""lmao""",neg,pandemic-legal,ca
,"@CBCAlerts UK experts warn that fully vaccinated catching COVID can pass it to those they live with. A British study, published in the Lancet Oct. 29, showed individuals who have had two vaccine doses can be just as infectious as those who have not been vaccinated.",neg,covid-controversy,non-ca
,"@RachelNotley Relying on @CBCNews  to fear monger.
Missing from the article:
Average daily staff shortage because of two week quarantine due to COVID-19?
How many sick from vaccine side effects?
How many are suspended due to vaccine hesitancy?
#JournalismIsDead",neg,covid-controversy,ca
,"@Murcut @CBCNews Yeah ,no. That's just wrong. You have no idea.  A white supremacist because I'm scared of an unproven vaccine? And all the rest of your bullshit you just spewed? Give your head a shake, clown!",neg,covid-controversy,ca
