tweet_id,text,sentiment,labels,ca_related
1.466045868356821e+18,"A person's immune system slightly alters their DNA after taking any vaccine, in the same way the body responds to any infection, like the common cold. Salzberg is a computational biologist and computer scientist with Johns Hopkins University.  https://t.co/xlIoac4skC",,,
1.4660394806163743e+18,"If you are concerned about life as @GovernmentZA why do you accept abortion?
Why are you concerned only if it's vaccine?
Make service delivery mandatory first @PresidencyZA
@PublicProtector vaccine is a choice....",,,
1.466047880083513e+18,"God WAS sending you a message, dipstick:
ROLL UP YOUR SLEEVE AND GET THE VACCINE.
Side effect of the vaccine-soreness at the injection site.
Side effect of not getting a vaccine, see below. https://t.co/ldi2lpVa3u",,,
1.46603861083102e+18,"You will never be allowed in my community if you either support the vaccine mandate now or mocked anyone who is against the clotshot. Also no draadsitters, no matter how smart you think you are in playing it safe.",,,
1.4660403936199762e+18,"A man who damaged a COVID-19 vaccination centre in Gorleston, preventing more than 500 people to get vaccinated, has been jailed for 12 weeks. Read more &gt; https://t.co/aFJ2eWo2XK https://t.co/mUJBKOQoSR",,,
1.4660495763648758e+18,"i try to be diplomatic w/ folks i disagree with. i know it's fun to be a dick, but that's really all it is; it changes nothing. 

having said that, i would pay green money to get a picture of me receiving the vaccine from @BarackObama, with Fauci in the background cheering https://t.co/zPvDjtdR3A",,,
1.4660414106338345e+18,Vaccine Hesitancy Hurts Covid Fight in Poorer Countries - The New York Times https://t.co/R0d2iOL7wv,,,
1.4660471527702405e+18,This communist man says you're fascist if you don't take a vaccine. 🤡🐑🤡 https://t.co/9LCnQGrBx8 https://t.co/HOXMcKC5Pi,,,
1.4660375596503572e+18,"Now ALL STATES and Health care workers are protected from losing their jobs. Our once ""Heros"" can keep their jobs at least through the holidays  - @alevine014 @BalladHealth @balladhealthjob 
https://t.co/XFPKapRLH1",,,
1.4660400688591217e+18,Philippines Says COVID Variants Highlight Need for Local Vaccine Development | World News https://t.co/Wa0ODQjEuK,,,
