,text,sentiment,labels,ca_related
0,"If you are concerned about life as @GovernmentZA why do you accept abortion?
Why are you concerned only if it's vaccine?
Make service delivery mandatory first @PresidencyZA
@PublicProtector vaccine is a choice....",pos,covid-controversy,non-ca
1,"God WAS sending you a message, dipstick:
ROLL UP YOUR SLEEVE AND GET THE VACCINE.
Side effect of the vaccine-soreness at the injection site.
Side effect of not getting a vaccine, see below. https://t.co/ldi2lpVa3u",pos,vax-efficiency,na
2,"i try to be diplomatic w/ folks i disagree with. i know it's fun to be a dick, but that's really all it is; it changes nothing. 

having said that, i would pay green money to get a picture of me receiving the vaccine from @BarackObama, with Fauci in the background cheering https://t.co/zPvDjtdR3A",pos,covid-controversy,non-ca
3,Philippines Says COVID Variants Highlight Need for Local Vaccine Development | World News https://t.co/Wa0ODQjEuK,pos,pandemic-logistics,na
4,"A quick reminder, the #GoVAXX bus will be at the Petrolia Farmers' Market on Dec. 1, from 12 noon to 5 p.m. to offer Pfizer COVID-19 vaccine. Vaccine supplies are limited. 

Learn more: https://t.co/v19vxoSlKI https://t.co/92xdoawfR4",pos,pandemic-logistics,non-ca
5,"The Health Ministry has announced its  first third-dose vaccine marathon in Lebanon for people aged 50 and older with the goal of reinforcing their immune system against “COVID-19 and its variants.”: 

https://t.co/dVJ4NpHQzI",pos,pandemic-logistics,non-ca
6,"40+? Protect yourself &amp; reduce your chances of ending up in hospital this winter by getting your Covid-19 #booster jab. Book your booster now (boosters are given 6 months after your 2nd dose)
https://t.co/JtamoKwcTa https://t.co/eCdxkm3t5K",pos,pandemic-logistics,na
7,"Well, this was totally expected.

Anti-Vaccine Televangelist Marcus Lamb Dies Of COVID-19 at 64 https://t.co/DFpxTwphQE",pos,covid-controversy,na
8,"A vaccine clinic will be open at @FiservForum this Saturday from 10am-2pm. @MKEhealth says the  first clinic was successful; administering 309 doses of the vaccine, 149 of which to children.",pos,pandemic-logistics,non-ca
9,"Young people who catch the virus can develop long-term symptoms, including prolonged shortness of breath, fatigue, &amp; headaches. Getting vaccinated protects you from spreading the virus to people around you, like your friends &amp; family. For more information: https://t.co/1l4JBkCmUu https://t.co/5uPTQrT2d5",pos,covid-controversy,na
10,$MRK Merck's Pneumococcal 15-valent Conjugate Vaccine Under Priority FDA Review For Use In Kids,pos,pandemic-logistics,non-ca
11,.@POTUS @BorisJohnson @emmanuelmacron @palazzo_chigi @EUCouncil @RegSprecher @JPN_PMO @JustinTrudeau the 🌍 needs #COVID vaccine access now. Step up to ensure #VaccineJustice for all by sharing all promised doses through COVAX by the end of 2021. https://t.co/rApGrh6Ora,pos,pandemic-logistics,non-ca
12,"this is so cool!! using a vaccine to induce a reaction, rather than actually treat a disease! https://t.co/QxzEuS8KfJ",pos,vax-efficiency,na
13,"#Vietnam allows extending shelf life of two #Pfizer-BioNTech #COVID19 vaccine batches
https://t.co/wriwejQrEL",pos,pandemic-logistics,non-ca
14,"Worth mentioning that New York pushed for vaccine mandates for many types of employers, requires New Yorkers to wear masks on the subway, and requires proof of vaccination to go to sporting events, movies, etc... https://t.co/AxgSypZB0x",pos,pandemic-legal,non-ca
15,"A really very sad story - and a remind of why getting vaccinated is so important.

The life and tragic death of John Eyers – a fitness fanatic who refused the vaccine https://t.co/jSRnqxwdfo",pos,covid-controversy,na
16,"""Let us be clear: to deny lifesaving healthcare anytime, but particularly during a global health crisis, is unacceptable.""

https://t.co/5s1OqqqmxF via @commondreams",pos,covid-controversy,na
17,"How many people did he kill with his  broadcasts for  anti-lockdown and anti-vaccination?
#GetVaccinatedNow 
 https://t.co/hUfNXqod7p via @Yahoo",pos,covid-controversy,na
18,J.D. Vance: ‘Shut Down the Government Until Vaccine Mandate Ends‘ https://t.co/ll0wpthHXi via @BreitbartNews,pos,pandemic-legal,non-ca
19,"As of: Wed Dec 1 06:46:27 2021

Appointments found at CVS locations in San Diego!

Schedule here:
https://t.co/2f80GMQQ8o",pos,pandemic-logistics,non-ca
20,"and now you wine and complain because you almost died 3 times because you caught covid.  No, you almost died 3 times because you didn't get the vaccine and look at you now.  Don't expect people to do what you didn't do. https://t.co/7d3uET0t09",pos,covid-controversy,na
21,im sry but today i wont be streaming due to my third vaccine. not feeling well. so i will see if we can back on it tomorrow and keep climbing,pos,vax-efficiency,na
22,"It’s so frustrating to think that so many people are still refusing the covid vaccine. It’s easy to think this is all over from the outside, but hospitals all over the country are flooding with people. Ones like mine that don’t even have ROOM. We are drowning over here.",pos,covid-controversy,na
23,I’m bummed to have had to postpone my booster covid vaccine shot. The next appointment is in 2 weeks. 😐,pos,pandemic-logistics,na
24,"Dear @CharlieBakerMA,
Please rollout a vaccine passport program in MA, and require vaccinations for all who wish to dine indoors, go to the movies, bowl, visit cultural centers, sporting events, concerts, etc. We too can hit 90% and you can prevent countless deaths.
Thanks,
Me https://t.co/sjyYv3rK32",pos,pandemic-logistics,na
25,"""..Delta variant ..symptoms ..coughs, headaches, sore throats.."": https://t.co/9hfEGeY7uK ""..Pfizer CEO ..need to get vaccinated against the coronavirus annually.."": https://t.co/tGF1XKE1WS ""..to save the world from a global crisis ..The Emergency.."": https://t.co/NC8gtAEclK https://t.co/gIbuFhXSi1",pos,vax-efficiency,na
26,"PCRHS will be hosting its second COVID-19 vaccine clinic next Wednesday, Dec. 8th for those who would like to receive their second dose or booster shot. Register for your appointment: https://t.co/I2xyMrgEum https://t.co/QKhYTUej6q",pos,pandemic-logistics,na
27,"Those with 2 #vaccine doses only to be allowed to malls, theatres, parks. Check on offices for vaccinated staff to intensify:@BBMPCOMM @BBMPSplHealth 
@NewIndianXpress @XpressBengaluru @santwana99 @KannadaPrabha @NammaBengaluroo @DHFWKA @citizensforblr @namma_BTM @BAFBLR",pos,pandemic-logistics,na
28,Shoutout to the Custer County Oklahoma Health Department. They have had vaccine pods in motion all over the western half of the state since the vaccines became available. Thank you for seeing about all of us in this godforsaken place.  https://t.co/VoZYgKVLHW,pos,pandemic-logistics,non-ca
29,"Here’s how to get a booster vaccine, walk-in clinic, or by appointment https://t.co/qkcWmUCl8l via @nbc4i @danpearlman",pos,pandemic-logistics,na
30,BioNTech CEO says vaccine likely to protect against severe COVID from Omicron https://t.co/T5W2qBNLxD via @cp24,pos,vax-efficiency,na
31,"Lamb: God, why didn’t you protect me?

God: Fool, I sent you a me-damned vaccine. https://t.co/igDq9Vk3pE",pos,covid-controversy,na
