,text,sentiment,labels,ca_related
0,@CBCNews You really not gonna be able to force the global South (the vaccine hesitant ones) to take the vaccination. Don't see how the world is gonna fix this situation..,neut,pandemic-logistics,ca
1,@picardonhealth @geoffreyyork @globeandmail So you honestly think vaccine equity is going to slow down variants that much - at the end of 3 years from now we will still have a billion people who don’t get the shot - many of which don’t want it (I do). And I bet a good 50% of vaccinated will catch Covid &amp; make variants,neg,vax-efficiency,ca
2,"@CBCNews the vaccine doesnt prevent the current variants, why would anyone think it will prevent the newer one?",neg,covid-controversy,ca
3,"@DanielBechtel7 @the_meghaning @nationalpost The actual percentages matter, Dan. Healthy eating and exercise lowers your risk of infection from 1 in 6 to around 1 in 60. The vaccine lowers it from 1 in 6 to around 1 in 12,000.",pos,vax-efficiency,ca
4,"@Goalie66191779 @CBCNews i cant believe we have to live with people like you who are so misinformed, as you spew your hated and vitriol on people who decided to wait for more facts to come out. we are glad we didnt take your experimental vaccine, because theyre causing heart attacks!",neg,covid-controversy,ca
5,"@globeandmail Yes, we have a new variant, 32 mutations to the S1. 
Makes it highly contagious, but so far more mild. 
This is the trend of viral evolution, more spread less dead. Will omicron follow this trend? Maybe
What’s interesting is the number of mutations just against vaccine antibodies",neg,covid-new-variant,ca
6,@virusTruth2 @nationalpost Can you name a vaccine that is 100% preventative? Smallpox would still be rampant if we all followed your logic.,neg,covid-controversy,ca
7,@woostiii @picardonhealth @globeandmail You believe that? You probably still believe if you get the vaccine you won't catch the virus.  I don't fear anything. I had it. I spent a day practicing golf in the sunshine and a few bowls of chicken soup. What more is there to do?,neg,vax-efficiency,ca
8,"@globeandmail The ""vaccine"" doesn't prevent transmission, contraction, hospitalization, or death. The headline makes no sense whatsoever.

Because it's a non-sterlizing therapeutic being used on a mass scale, the exact opposite is likely true with the ""vaccines"" driving mutations.",neg,vax-efficiency,ca
9,@nationalpost You should probably also take a test for inflammation markers and ACS risk since research is coming out that mRNA vaccine increases these.,neg,vax-efficiency,ca
10,"@BrineyBarbarian @Michell28462861 @CBCNews It's the vaccine causing selective pressure on the virus to mutate the spike, wake up",neg,vax-efficiency,ca
11,"@CBCAlerts Yes, they can develop both a test and a vaccine overnight without ever isolating the virus-but can they build a mouse trap if they have never seen a mouse?",neg,covid-controversy,ca
12,"@nationalpost @rupasubramanya ""Less than 15% of the more than 1 billion doses pledged by Group of Seven countries and the European Union have been delivered, analytics firm Airfinity Ltd. said Sunday. ""
https://t.co/zMy0QxbAYL",neut,pandemic-logistics,non-ca
13,@nspector4 @JustinTrudeau @globeandmail @SylviaStead Early cases of Omicron in Botswana were double vaxxed but that hasn’t stopped a certain crowd from hammering their vaccine inequity narrative.,neg,covid-new-variant,ca
14,"@CBCNews Amazing CBC, real news !!!!! Good job !Now try reporting about vaccine deaths and injuries and how the vaccines don’t work but they are still pushing them ! How hundreds of thousands of people could have been saved with early inexpensive treatments ! How babies are stillborn !!",neg,covid-controversy,ca
15,"@Norbsters @MelDCanada @CBCNews Vaxxers: I question nothing. For my protection, I wear a mask in public and practice social distancing even though I received 2-3 vaccine shots. My sleeve is rolled up for the 4th.",neut,pandemic-logistics,ca
16,"@Cleetwan @globeandmail Vaccine passport or social credit system dosen't stop the spread of anything!
It does however give people a false sense of security and way too much government control over the person",neut,pandemic-legal,ca
17,@CBCAlerts @CBCNews Thank goodness for those vaccine passports right? Only the vaccinated can come and go as they please right? Still trusting the science?,pos,covid-controversy,ca
18,@CBCAlerts This is impossible. You have already told us that only the vaccinated can fly and that keeps everyone safe. And we really don’t have to worry anyways because we have vaccine passports to give us extra protection. So no need to worry people. Our leaders have this under control. 😂,pos,pandemic-logistics,ca
19,"@BBCPolitics Sajid Javid rightly called out somebody on twitter for complaining of being offered a mixed dose of vaccines. My complaint is the opposite! I want a different vaccine, it makes sense and paid off in Canada.
https://t.co/zyQdhQy6p1
CC: @CBCNews @guardian @BBCNews @UKLabour",pos,pandemic-logistics,non-ca
20,@l_stone @globeandmail The variant that has “symptoms” the same as vaccine side effects and found only in vaxxed people. Mmmmkay https://t.co/kRx2veTz4k,neut,vax-efficiency,ca
21,"@100huntley @MaxLucado @business @CBCNews @CTVNews @globalnews @BBCWorld 
I #pray that #vaccine deliveries are increased to #Africa. I pray that world leaders and #doctors and #humanbeings do the right things to end this #pandemic. #vaccination #healthylifestyle #VitaminD https://t.co/eRA22yk0B7 https://t.co/5auH6WfPo9",pos,pandemic-logistics,non-ca
22,"@CBCNews tells Canadians Boris is ""tightening up"" anti-Covid measures ""in UK"", but FAILS to tell viewers that Boris REMOVED masking, REFUSES to have vaccine passport and is only now RETURNING to Scottish Government measures he ridiculed when in Scotland for COP. Royals too",neut,pandemic-logistics,non-ca
