text,sentiment,labels,ca_related
"A nurse who lost both her parents to Covid-19 says she does not regret their decision not to get the vaccine, but that she resents judgment from friends asking why they didn't get the shot: “Some people make us feel like it’s our fault they’re gone.” https://t.co/OuTTpZ5hUW 05",neg,antivax-args,na
"So now parents don't just have to book time off to shuttle kids to vaccine appointments, they have to apparently spend time at work - or book time off -- sitting on hold to get an appointment.

...why, again, can't we just vaccinate kids in schools? #bcpoli https://t.co/O2eqZoqj8p",neg,vax-logistics,na
All I ask is for god to protect me from this vaccine 🙏🏼,neg,antivax-args,na
"Ok, this headline I have seen everywhere. “Vaccine makers are also mobilizing to respond with updates.” Does it sound like a software update?",neg,antivax-joke,na
"Federal judge blocks Biden vaccine mandate for health care workers in Missouri, 9 other states https://t.co/vCFmyjRsOL",NA,NA,NA
"FormAssembly is the only FedRAMP + HIPAA Compliant web form builder and #datacollection platform, making it the perfect solution for any organization that processes #vaccine forms. Learn more: https://t.co/hTfSxqlggJ https://t.co/IehWRCeu0K",pos,vax-legal,non-ca
San Diego Student Wins Religious Rights Injunction for District's COVID Vaccine Mandate - https://t.co/Pfafwy3R9Y https://t.co/Q9DcHT7kGf,neg,vax-legal,non-ca
"Instead of #travel bans, we should work on getting the rest of the world vaccinated against COVID, suggest these scientists who believe that keeping out the variants by shutting borders is wishful thinking. https://t.co/n2TkXwPHL1 https://t.co/3X7bkyBDFy",neg,vax-logistics,na
"Must all just be a coincidence lmao
Couldn't be the vaxx that is the common denominator, could it?
https://t.co/ipDxR5Hwxw",neg,antivax-args,na
The Pasadena Digest gives you all the news you need to know in the Southland for your inbox. https://t.co/CRsutxIr4F,NA,NA,NA
"According to OMB, roughly 87.8 percent of the department’s staff had received at least one dose of the vaccine regimen as of last week. That translates into about 52,000 of the department’s approximately 426,000 staffers lacking a vaccine.
https://t.co/uavCap73HD",pos,vax-logistics,na
NO VACCINE PASSPORTS @OregonGovBrown destroying her state through medical segregation and unconstitutional mandates. #DoNotComply #NoVaccinePassports #SaveOregon #CrimesAgainstHumanity https://t.co/RSQsCGZqI3,neg,antivax-args,non-ca
let me know when that jonas salk polio vaccine NFT drops,NA,NA,NA
"""CMS seeks to overtake an area of traditional state authority by imposing an unprecedented demand to federally dictate the private medical decisions of millions of Americans. Such action challenges traditional notions of federalism.""

https://t.co/2t27KfAvgm",neg,antivax-args,non-ca
The Omicron variant has been partly blamed on rich countries and vaccine inequality https://t.co/TsfEaijyFh ⁦@SBSNews⁩,neg,omicron,na
"""Health Minister Christine Elliott says that the Ontario government is considering expanding third dose eligibility to more age groups amid concerns about the new Omicron variant and will have “more to say later this week.”
#Ontario
 https://t.co/QmGxgShabG",pos,vax-logistics,ca
Children in #HamOnt received a first dose of their COVID-19 vaccine this weekend. Thank you for helping to protect our community! https://t.co/UbB7uzb5do,pos,vax-logistics,ca
"The Coronavirus Vaccine Side Effects Poll for ME/CFS and Fibromyalgia https://t.co/VJLrThAr6o Take this poll, especially if you've had BAD side effects. #VaccineSideEffects #vaccinedeaths #vaccinedeath #CovidVaccine #VaccineMandate #Fibromyalgia #ChronicPain #chronicillness",NA,NA,NA
"A federal court previously placed a hold on a separate rule requiring businesses with more than 100 employees to ensure their workers get vaccinated or else wear masks and get tested weekly for the coronavirus.
https://t.co/IDNVp3aTqw",neg,vax-logistics,na
"Foolish developed nations with their vaccines playing vaccine politics with under developed nations without realizing no one in this world is safe from easy transmission of newer &amp; mutating covid strains

A universal vaccine strategy is the ONLY best approach to ending it.",neg,vax-logistics,non-ca
Biden Administration Tells Federal Agencies Not To Suspend or Remove Federal Workers Over Unconstitutional Vaccine Mandate - The Last Refuge https://t.co/63pMTxVftf,neg,vax-legal,non-ca
See this is why the pandemic continues - there are many who think like this. You can still catch and spread covid so no a vaccine does not make PPE useless https://t.co/T1OEHu8EuQ,neg,antivax-args,na
Forcing the Covid vaccine on someone else because you believe it will stop the spread of Covid. Is like someone saying their birth control isn’t going to work unless everyone take birth control. The math just not mathing for me.,neg,antivax-args,na
there are really kids out here who wanna get vaccinated so they can hang out at their friends house and their parents won't let them get the vaccine,neg,vax-logistics,na
Federal Judge Halts Biden Vaccine Mandate for Heath Care Workers https://t.co/X4Q3SK8yZA,neg,vax-legal,non-ca
The ineffectiveness of this vaccine is blamed on anti vaxxers 🤣🤣 haybo njani na ngoku.,NA,NA,NA
JCVI advice on the UK vaccine response to the Omicron variant - https://t.co/E20fbA8NLz https://t.co/SqvuoDoPEn,neut,omicron,na
"Movie Theaters Can Attract More Customers With Vaccine Mandates, Lower Ticket Prices, Study Finds
https://t.co/nW3mwcXTFG https://t.co/rUbr8llqRN",pos,vax-legal,na
"“the only real question is “will the covid vaccine advent calendar be ready in time to be this year’s holiday must have?”

the ""advent"" of omicron booster shots - by el gato malo https://t.co/jmWIIAVPJB",neut,omicron,na
"For the 100th time, the vaccine is not a cure. https://t.co/HPfhB2XVMp https://t.co/zmQBNRplsl",neg,antivax-args,na
Governor: Legal action leads to pause in federal vaccine mandate for health care workers https://t.co/1oRuNNqXGu,neg,vax-legal,non-ca
"As vaccine immunity wanes, hospitals are reporting a higher number of vaccinated Covid patients.
41% of hospitalized patients in Massachusetts  are vaccinated (7-day average of hospitalizations is 718; 295 hospitalized patients are breakthrough cases.)
https://t.co/CIQ6HDoDLo",neut,vax-efficiency,na
Federal Judge Blocks Vaccine Mandate For Healthcare Workers In Ten States https://t.co/gE23iW9B05,NA,NA,NA
Federal Judge Blocks Vaccine Mandate For Healthcare Workers In Ten States https://t.co/K1q5tcbsWU,neg,vax-legal,non-ca
"Judge Blocks Biden Administration’s COVID-19 Vaccine Mandate for Health Care Workers

https://t.co/MfkcDcV8mD",neg,vax-legal,non-ca
"The troubling word there is ""believe"". Belief implies religion not science.  Science ought to be rational, understandable and refutable.  It ought to stand up to scrutiny.  Try to question vaccine ideology and you are branded an idiot and a spreader of misinformation https://t.co/XMcZ6iD7de",neg,antivax-args,na
"Vaccines will be offered at no costs to Teaneck Public Schools students, district officials said. https://t.co/5oYHHKQcD3",pos,vax-logistics,non-ca
"For those who no longer want to remain zombies :
The VentaviaCovid vaccine Scandal
https://t.co/OKXkWD0y2Q",neg,antivax-args,na
"So basically the vaccine that already doesn't work,probably won't work on the new bulllshit fear porn strain either😆😆#Moronic #OmnicronVariant https://t.co/tard8D2E5B",neg,antivax-args,na
Shares of Covid vaccine manufacturers are rising due to concerns about Omicron variants https://t.co/JlItecp7yA,neut,omicron,na
Free Darwin Award for anyone deciding not to get a vaccine,pos,antivax-args,na
"Butte County Town of Oroville Declares Itself a 'Constitutional Republic' in the Latest Anti-Vaccine Tantrum -
...and I'm the queen of England. https://t.co/yDXfyU7m8Q via @GoogleNews",pos,antivax-args,na
"First four Omicron cases were all Fully Vaccinated…

According to a public statement by the Botswana government, the new Omicron mutation was first discovered in four people who had received both doses of the COVID vaccine. Meanwhile, Read More @ https://t.co/XncsvozftT https://t.co/cJDFsqtvnC",neut,vax-efficiency,non-ca
Is it wrong for me to want ALL the sheep who got the vaccine to get covid and have no immune response?  It’s an ethical dilemma for sure https://t.co/2tao0eiRJy,neg,antivax-args,na
"Pfizer and Moderna already working on an Omicron variant vaccine.
Listen: https://t.co/Wl4vIDmz8f or https://t.co/ISiRFDROiY",neut,omicron,na
Omicron Variant Has Covid-19 Vaccine Makers Preparing for Worst Case https://t.co/wnNH5aeyg3 #WSJ https://t.co/RhFVohSQWv,neg,omicron,na
"Parma,Italy.

Protesters are carrying pictures of the vaccine injured and dead to remind Italian politicians they will not tolerate this medical tyranny any more. https://t.co/xqV9zTOtMO",neg,antivax-args,non-ca
"He had no choice, no one was listening to him MANDATE CAVE: White House Suspends Vaccine Mandate for Fed Employees https://t.co/aKF77IyBv3",neg,vax-legal,non-ca
"WH Working With Vaccine Makers, FDA To Prepare For Omicron Variant https://t.co/i19qR0X8j4",pos,omicron,non-ca
Omicron Variant Has Covid-19 Vaccine Makers Preparing for Worst Case https://t.co/r5MWGJBQN6,NA,NA,NA
"Biden vaccine rule for health workers blocked in 10
states   https://t.co/uC2mONDcfE   #Sarang #India",neg,vax-legal,non-ca
Perhaps they just don't want an experimental vaccine every 6 months ! https://t.co/ojWypmkCru,neg,vax-legal,na
Both adultes and adolescents Pfizer mRNA vaccine used phosphate-buffered saline (PBS) but as we now found up the current Pfizer batches uses Tris buffer. No clinical trials were done. This can increase/decrease efficacy/safety for better or for worst! https://t.co/TzdL8ee4xv,neut,vax-efficiency,na
"We are pleased to host “HPV Vaccine Trends and Role of the Dental Provider in HPV Vaccination: Gaps and Opportunities for Cancer Prevention"" on Fri. Dec. 10th, 12:00-1:00 PM CST for 1.0 CDE.

Registration is complimentary but required at https://t.co/eiuVq4hu2n. #HPV #HPVvaccine https://t.co/bQWF9ST7B3",NA,NA,NA
"UK now recommends 2nd vaccine dose for 12-15 year olds.
https://t.co/EH7ox7BQs7",pos,vax-logistics,non-ca
"New Study Explores if a Vaccine Can Prevent Breast Cancer
New Study Explores if a Vaccine Can Prevent Breast Cancer

Harnessing the immune system to target cancer has long resided on doctors’ wish lists, with very little promise of becoming reality. Beca… https://t.co/zeVyMmt2c5",NA,NA,NA
"https://t.co/dIAudNEr0U If this petition gets 100,000 signatures, it will go to the UN Human Rights Council. Support nurses around the world who are responding to Big Pharma's control of vaccine patents - and governments (EU, CH, Norway, Singapore, UK) https://t.co/TeehCSfHeb",neg,vax-legal,non-ca
.@GovKathyHochul says she is not backing down on vaccine mandate for healthcare workers despite staff shortages at certain hospitals. Says she is looking to add personnel with foreign workers and training current members of New York National Guard.,pos,vax-logistics,non-ca
"#C4News leading on latest SA variant - already have my booster lined up, but no guarantee it'll work against the latest. The news says it spreads--and presumably mutates--faster, why other quarantine measures are needed to augment the vaccine.",neg,vax-efficiency,na
"#COVIDisAirborne.
I'd advocate for us all (incl. university staff &amp; #students) help with minimising the risk of spreading #C19.
It is a mutating airborne virus, hence combo of vaccine (+ boosters), ventilation (!), masks + distancing help to minimise risks.

Lead by example. https://t.co/soVaEoOGtX",pos,vax-efficiency,na
"And what about opening them borders after the Beijing Olympics?! Sounds fair and right, 2 years r more than enough, we've had enough! We're vaccinated with your dear vaccine china! What r u waiting for?

#takeusbacktochina https://t.co/gy2F2uJ6HV",pos,vax-logistics,na
"Nothing to see here, folks.

Covid vaccine makers' stocks soar on Omicron variant concerns https://t.co/mS5a8MAFNI",pos,omicron,na
https://t.co/GxCACCUlTZ White House Quietly Delays Vaccine Mandate As Another Federal Judge Objects,neg,vax-legal,non-ca
"According to Kelly, her vaccine just doesn't work unless everyone else gets vaccinated. https://t.co/OsNU3NLLNl",neg,vax-efficiency,na
honestly i wouldnt be as mad about all these ni restrictions with vaccine passports if the methods of obtaining them MADE SENSE AND WORKED,neg,antivax-args,na
"Amid mounting fear over the new SARS-COV2 variant Omicron, an expert committee on Covid immunisation is considering to recommend an “additional dose” to those who are immunocompromised or are elderly and at high risk of infection or death due... https://t.co/JKA4RRqLec",pos,omicron,na
"BREAKING #HEALTHCARE NEWS:  the E.D. of #Missouri just enjoined the #CMS #vaccine #mandate in in MO, NE, AK, KS, IA, WY, AL, SD, ND, and NH. Stay tuned.

Sorry, my #Ohio healthcare clients. It's status quo for you. You should continue good-faith efforts…https://t.co/0sYbe6OlpQ",pos,vax-legal,non-ca
