tweet_id,text,sentiment,labels,ca_related
1.4653125791489106e+18,"@CPHO_Canada Why are you pushing / mandating (illegally) a drug still in clinical trials? 🤷🏻‍♀️

Study to Describe the Safety, Tolerability, Immunogenicity, and Efficacy of RNA Vaccine Candidates Against COVID-19 in Healthy Individuals - Full Text View - https://t.co/30vzVZM6tS",,,
1.4653207531219722e+18,"@TomJefferson30 @tr6_guy @fordnation @JustinTrudeau Internet fact checkers report what legal authorities say. You just have this one guy who goes against the vast majority of the medical community.

https://t.co/CcJw7H40Hm",,,
1.465149336938066e+18,@RMC231 @JustinTrudeau Or they wont hit the vaccine rates they want.,,,
1.465168271267836e+18,"@AhraniLogan @unspinthespina1 Everyone of them are evil criminals. @fordnation @celliottability @JustinTrudeau are all disgrace to CANADA, Ontario and humanity! The Covid lies, and scam of the vaccine is endless!",,,
1.465374572211966e+18,@doaas @SusanDelacourt @JustinTrudeau @TorontoStar Pardon? We peacefully marched in the streets by the thousands. Every country on earth has broken their record for the biggest protest ever recorded in their country because of this vaccine mandates. Expand YOUR bubble.,,,
1.4652398583986053e+18,"@KimberleyeLeo Despite Canada having enough does, @JustinTrudeau went ahead to order vaccines the equivalent of FOUR times the country's population while other countries struggle with a shortfall. It's just evil. https://t.co/zIYTLk1ZGT",,,
1.4653031939492495e+18,@nspector4 @JustinTrudeau @globeandmail @SylviaStead Early cases of Omicron in Botswana were double vaxxed but that hasn’t stopped a certain crowd from hammering their vaccine inequity narrative.,,,
1.4651207274057933e+18,"@B49449739 @JustinTrudeau @bcndp You’re not a teacher- #bced are among the most vulnerable. There are no required precautionary measures in schools. Students &amp; staff don’t understand virus is airborne &amp; often don’t wear masks. Thousand eat lunch together, maskless. It’s dangerous, regardless of vaccine status.",,,
1.4653168533040947e+18,"@CPHO_Canada MEDSCAPE POLL: One in three doctors won't give Covid-19 vaccine to their own kids

https://t.co/PIPpDxIImq",,,
1.465349698898862e+18,"@sajidjavid My advice, talk to Canada. Don't be afraid to mix a viral vector (primer) with an mRNA as a booster, otherwise I'll either refuse my dose or be part of a mixed vaccine study. 
@JustinTrudeau @CBCNews",,,
1.4651268430828503e+18,"@DanielDay_T @CPHO_Canada https://t.co/MkW6ENp5I5

Tam had a link on the WHO website. But as soon as word circulated of the connection the page mysteriously disappeared from the website",,,
1.4653121069709435e+18,@CPHO_Canada We are mandating a vaccine where there is no scientific evidence that it has ever saved a single life https://t.co/yQ51anPKc2,,,
1.4653159727561646e+18,"@tabularasa100 @tr6_guy @fordnation @JustinTrudeau The alternative is that those most at risk get the vaccine (prophylactic) while the rest of the population develops immunities &amp; resiliency. 

It is the vaccines that are causing the more severe and contagious variants. Variants that get around natural immunity are weaker.",,,
1.465421160410235e+18,@JustinTrudeau Thank you for mandating the double vaccine to travel in &amp; out of 🇨🇦.  It’s to bad other world leaders don’t follow your lead.   👍 @JustinTrudeau @CanadianPM,,,
1.465401852359553e+18,"@RCAFOperations @JustinTrudeau @RCAF_ARC @CFOperations @MARPAC_FMARP @CanadianForces October..

Vaccine Patents Kill! A Message on the TRIPS Waiver from South Africa

https://t.co/zugoLXjoOf",,,
1.4653660230208102e+18,"@JustinTrudeau Are we still following the science ? If so stop forcing vaccination on 💯 of Canadians .The narrative is crumbling,might as well tell the truth at this point and reveal it’s all about the “Vaccine passport “ not the vaccine 

 https://t.co/b4WHllmC6c",,,
1.4654067937906074e+18,@PoliticalOrgasm .Not a vaccine is a bio weapon being used against humanity. Charges of crimes against humanity are in order. #1 CDN culprit @JustinTrudeau,,,
1.4653996322515722e+18,"@JustinTrudeau How about all of those that lost their lives due to vaccine mandates, coercion, lack of science and failure of leadership? You have blood on your hands.",,,
1.465421662925562e+18,"@CPHO_Canada @JustinTrudeau #CoronaVirus #CoVid19 @fordnation @celliottability @epdevilla @jyduclos An Impolite Message to Those Who Got the Covid “Vaccine”
https://t.co/NUmmqbgaax https://t.co/6VdGxPmhw9",,,
1.4653234343769293e+18,"@briellegrvyson @JustinTrudeau This is why I don't be jumping to go places for the sake of going places. The illusion of safety is blinding! These people really finna kill us over black Friday deals. No thanks lmao!
Vaccine passports and staying at my yaad. Pls😐",,,
1.4653526433589617e+18,"@AFP @OfficialDGISPR @POTUS @JustinTrudeau @VP @USAmbUN @BorisJohnson @jeremycorbyn @SadiqKhan @KingSalman @RTErdogan @KremlinRussia_E @GermanyDiplo @SaudiEmbassyUSA @MFA_China @MFATurkey @UKParliament @mfa_russia @EmmanuelMacron @AOC @IlhanMN @SecDef @SecBlinken @EUCouncil @Keir_Starmer @MOI_QatarEn @peaceforchange @jeremyscahill @suhailshaheen1 @democracynow @amnesty @amnestyusa @thecaravanindia @RanaAyyub @RashidaTlaib @CoriBush @RepPressley @abierkhatib @sherryontopp @hrw @RepJayapal @Rep_Watkins @elonmusk @QaharBalkhi @Facebook @jack @Twitter @NASA @Tesla @tim_cook behind in almost every category due to non-stop attacks of all sorts. As the WWW is shutting down on #Africa, just imagine what will be going on in #Africa itself, where NO BIG NEWS MEDIA EVEN CARE TO LOOK AT THE ACTUAL NUMBER OF CASUALTIES OR AFFECTED POPULATION! This #Vaccine…",,,
