tweet_id,text,sentiment,labels,ca_related
1.46575250694076e+18,"#MARKET 
'Markets fall on Omicron fears as officials offer vaccine reassurance'",,,
1.4657520330431406e+18,"😷👀 DOES ANYONE ELSE think that the vaccine and booster uptake is not what were hoping for??? 🤔 

Why else would we have had three Press Conferences in the space of four days saying exactly the same thing… 😜",,,
1.465753003110056e+18,This is hilarious to me. I love being in Florida and living life normal!! No mask or vaccine. 😎 https://t.co/QloJjzGiLv,,,
1.4657530043558216e+18,"The Auschwitz Museum made a statement about using the Holocaust in the vaccine debate.
 I posted the on Lara Logan's page. https://t.co/R4TEwUnJn1",,,
1.4657462274762424e+18,"You look satanic @sajidjavid 

This is terrifying the way you were in this short clip and its made me double down on my decision not to take this trial vaccine that doesn't actually fix anything. https://t.co/53PlcOxHq6",,,
1.4657491704851374e+18,"#covid #corona
Japan high %vacc low cases.
Europe high %vacc high cases.
Australia high %vacc medium cases.
India middle %vacc low cases.
Africa, China, not sure about the data.

So it is not just the vaccine. Other things work too.

@OurWorldInData https://t.co/bM4A2sG7qn",,,
1.465747255034585e+18,"It's quite condescending when...
Lawyers say, ""don't blame the judge"" ( Kyle's case)
Epidemiologists say, ""It took me a lot of time to book a vax apptmt. Hesitancy is not why we have low vaccine rate!""
Your degree doesn't give u an advantage in certain things.. just bcos!",,,
1.4657450629570437e+18,"THIS IS ON 🎯

There is a clear connection to me between the Havana Syndrome propaganda and aggressions against Cuba from the US and THIS fact. The US is BIG MAD that Cuba still found a way to create a successful vaccine with no IP released and with destructive sanctions imposed. https://t.co/VEhv4pZf16",,,
1.4657473941133804e+18,Trump-appointed judges are pushing a huge right-wing lie in order to block vaccine mandates https://t.co/EYS4yuSRrl,,,
1.4657526057206702e+18,"For the next 2-3 weeks 🧩 
1. 📰 # of USA cases
2. 📰 how fast it spreads
3. 📰 how deadly it is or not.
4. 📰 how the 🌎 reacts ?🔒’s
🤔👉The Vaccine💉 is not a factor to me at all, only how disruptive the new strand is on the global economy. Oil 📉 is good for inflation📉 #’s",,,
1.4657434927481364e+18,"But I am guessing her case is mild and she is not hospitalized on a ventilator. That's the protection of the vaccine. As Fauci says, the vaccine will most likely keep you out of the hospital and keep you from dying. The Data proves Fauci right. https://t.co/bt9w37Fayw",,,
1.465750630480466e+18,Who is eligible for the Covid booster vaccine and how can you book it? https://t.co/kvVyqlqLZk,,,
1.465748169355002e+18,Sweden: Get Your Covid Vaccine Passport in a Chip in Your Hand #MarkOfTheBeast --VIDEO https://t.co/JZ3rLs9Hb6 via @gatewaypundit,,,
1.4657477307105526e+18,"I don’t blame Ecuador for trying to be safe. I wish their requirements gave a little extra time for testing, but I blame every jackass who refused to stay home, where a goddamned mask, or get vaccinated. Go get your goddamn vaccine or booster. https://t.co/4u6prnDsOK",,,
1.465747320457339e+18,"Why shocked? The data is out there for many months that vaccine efficiency drops like crazy; that vaccinated people can get infected, and that most masks either by design or how people use it is way less effective than what people think it is. Read more of my data tweets sir. https://t.co/lnQshpoNEW",,,
1.4657434027508572e+18,Had the vaccine for an hour and my arm feels raw fr,,,
1.4657434516061676e+18,"1,2,3,4,5 they tried to give me an experiment to keep me alive.
6,7,8,9,10 now they trying the same thing over again.

SOME VACCINE THAT!!!!",,,
1.4657443225785958e+18,"The #OmicronVariant is cause for concern but not panic. The best way to protect yourself and others is to get the #COVID19 vaccine if you have not done so yet, or get the booster if you are eligible to receive it!

https://t.co/UKssiEQHrR",,,
1.465743013007827e+18,European Commission: Vaccine Equality: a Global Response of Collaboration with Africa on COVID-19 - Sign the Petition! https://t.co/9I9vm3Qnos via @Change,,,
1.4657504487370752e+18,"Vaccinated people will Vaccine again, lot of holes in your body hey...",,,
1.465746327518724e+18,"""We know that the so-called Remainers, not all of them but many of them, are from the elites""

This is always where my eyes glaze over: how can you say that most of 48% of voters in 2016 were ""from the elites""? Most I knew were broke-arsed uni grads. https://t.co/zG150XEX3L",,,
1.4657534475050437e+18,"The Omicron variant could lead to more infections among vaccinated people but they will most likely remain protected from a severe course of illness, according to the BioNTech co-founder #omicron #vaccine #medical #healthcare #covid #virology #infection  https://t.co/3tLZESBWgN",,,
1.465746151559291e+18,When are the train containers coming?  There will be families who don't want the vaccine hiding out in attics. https://t.co/1wXD3sSxRm,,,
1.4657490040216494e+18,"I'm a proud Democrat that got my booster 6 months after my 2nd Pfizer vaccine. 
My whole house did and are 👍. https://t.co/XRLKyXkbGv",,,
1.4657429866213212e+18,"Like here is the thing, I didn’t make that post to be anti vaccine. I made it to share experiences of people with similar medical situations to help ease fears of getting it. It’s not that we don’t want to get it, it’s that we want to feel and be assured it’s safe to.",,,
1.4657487539404595e+18,"The joke is on us. And you still think they complied, took the vaccine..!? Well, keep thinking that..!😅😂🤣🤣🤣🤣🤣 https://t.co/dZM3uV49xl",,,
