tweet_id,text,sentiment,labels,ca_related
1.4657802461799465e+18,"@JustinTrudeau Explain why your plan doesn't include non-mRNA vaccines for people who have warranted concerns about the safety of mRNA technology.

You could change vaccine uptake almost overnight. But you won't.. because this isn't really about health is it.",,,
1.465712738424877e+18,"@marcelloup @Avnihl78 @MTW2478 @JustinTrudeau Ya the vaccine saves people lmao. It’s made to kill you ya godamn idiot. Go to a blood donor clinic, ask to give blood. Sorry they don’t want your blood. Ask for an hiv test, you’ll test positive. Sorry to burst your Covid vaccine bubble but you’ve been lied to, sorry.",,,
1.4657266514137088e+18,"@JustinTrudeau @celliottability @epdevilla @CPHO_Canada Boris Johnson UK PM now offering boosters to everyone over 18 and reduced wait period to 3 months from second vaccine, what is Canada doing? #BoosterShots #Covid_19 #Omicron",,,
1.4655494339075973e+18,@McFaggotDong @truthtalker604 @hodl_adu @JustinTrudeau @DavidLametti @MarciIen That still doesn't mean people should eschew the vaccine.,,,
1.4657706428385976e+18,"@manroop_narwal @RealKatyusha @JustinTrudeau @nir_ I am going out on a limb and saying that based on your name you are a Sikh. That being said they believe in reincarnation so why worry about the vaccine, you will arrive back the day after Covid kills you as a donkey.",,,
1.4655618535059292e+18,@JustinTrudeau APPROVE COVAXIN ..IF YOU A PARENT READ ABOUT THE ONLY VACCINE WITH NO DEATH OR SEVERE SIDE AFFECTS SAFE FOR 2 YR OLD MADE BY A COMPANY THAT HAS OVER 6 BILLION DOSES OF IT'S VACCINES IN THE WORLD ..CORRUPTION IS REAL ..WHO APPROVED COVAXIN BUT CANADA SAYS EVEN 1 CHILD MYOCARDITIS,,,
1.4657755305113723e+18,"@angelawillkins @MTW2478 @JustinTrudeau Actually, yes it is luck. I know a guy who lives a healthy lifestyle who was hospitalised. He’s 30. PS the vaccine is a choice - but there are consequences *to* that choice.",,,
1.465542999195079e+18,@JustinTrudeau It's not a vaccine and it's neither safe or effective!,,,
1.4655260786095432e+18,@JustinTrudeau Lucky enough to be Canadian to have all privileges but for tigrayans who have been rounded up by Abiy ahimed and esayas getting the 2nd doses of vaccine is impossible because countries like Canada did not do enough efforts to prevent and save millions of tigrayans life,,,
1.465577523870265e+18,"@JustinTrudeau Nope. As I said when this all started, I’ll take a vaccine voluntarily, but not a mandatory one.",,,
1.4654719952068485e+18,"@JustinTrudeau @j_akeeagok We need better vaccine distribution.💉🌍 The actions taken so far have been important, but insufficient.
We need an emergency vaccination plan urgently.⚠️ #VaccinEquity
Millions of people, in different countries, have not yet taken any dose.😔 https://t.co/XWHspDwXwf",,,
1.4655346614849454e+18,@Shanerpain @maxiheadr00m @JustinTrudeau Looks like I got you all riled up. You have a choice and so do people who want the vaccine.,,,
1.465799942832898e+18,"@Esra71344236 @JustinTrudeau No we don't. Stop worrying about 10% of the population, almost 90% of eligible Canadians have got their shots. If the vaccine works we will be fine.",,,
1.4655664813668884e+18,"@Case14010339 @KylieSpeak @JustinTrudeau The virus. The vaccine is very safe, especially when compared to the virus.",,,
1.4657608866274386e+18,"@Sylvia_FineArt @JustinTrudeau You must be kidding, are you serious? You can go everywhere, do everything and you still complain? You got your vaccine in exchange of a bonus for you just like lollipop for children for good behaving. There must be something wrong with vaccine that you took! No other explanation",,,
1.465739110396547e+18,@marcelloup @EarnmyV @Avnihl78 @MTW2478 @JustinTrudeau It’s not a vaccine hur a gene therapy actual vaccines stop transmission of the whatever the vaccine is for. Stop trying to sound smarter then you are. Also if double vax can get and spread then you must be even stupider to not have read that or seen @BorisJohnson say it,,,
1.4655619669491917e+18,@JustinTrudeau Please do your research… changing DNA. Sterilization don’t harm your child for an experimental jab.  This is not a vaccine,,,
1.465570078787883e+18,"@JustinTrudeau Let's be clear. No! Pharma 36 billion and rising. No liability. The vaccine has killed humans, yes? Do your part and do your job. Shut the dodgy jab down! You can have mine. 😚",,,
1.4657643263382815e+18,@JustinTrudeau Really not sure how getting an Alpha vaccine for an Omicron variant is helpful in anyway. Funny how the Omicron variant came out in July and nobody seemed to care about it then because it's been reduced to a mild cold through mutations already. https://t.co/SeCJABF1Fz,,,
1.4657261952035594e+18,"@CPHO_Canada @JustinTrudeau #CoronaVirus #CoVid19 @fordnation @celliottability @epdevilla @jyduclos Vaccine rules don't apply to Nova Scotia judges Well, of course not. Don’t be ridiculous. 
https://t.co/NB82jcRtOn https://t.co/IT5Ru26DOk",,,
1.4657593741193544e+18,@CPHO_Canada Spontaneous Abortions and Policies on COVID-19 mRNA Vaccine Use During Pregnancy https://t.co/0A006F7aKr,,,
1.46578073590272e+18,@US_FDA y’all are a joke a @WHO approved vaccine lmao @Ocugen / @BharatBiotech  a victim of #vaccineracism #bigpharmagames @GovCanHealth @CPHO_Canada @POTUS @VP @FoxNews @ABC @CBSNews @NBCNews @CNN @5NEWS @CNBC $ocgn #Covaxinapproval  @JustinTrudeau @RepThomasMassie #datadontlie https://t.co/L6lV8QxeOR,,,
1.4655575542857482e+18,"@jasonwoody @Mike_CATV @Case14010339 @KylieSpeak @JustinTrudeau Vaccinated can still pass covid. Have you forgotten?
It's not a sterilizing vaccine it's not made to stop transmission or infection. That is clear science and is in the trial study briefing documents which you've surely read.
The vaccine is to minimize severe infection. Remember?",,,
1.4655247038213734e+18,@JustinTrudeau Go vaccinate your kids. Stop telling people to inject a joke vaccine clown man,,,
1.4657578944989307e+18,@SherieDee @adamjsfletcher @maxiheadr00m @JustinTrudeau The unvaxxed are partly being viewed as selfish because they’re vastly the ones straining the health care system to the max when a free vaccine is readily available.They refuse to get vaccinated then fill up the hospitals when they get Covid so doctors can’t help other patients,,,
1.465695069747368e+18,@jkenney @CMOH_Alberta @JustinTrudeau drop the mandates the vaccine isn’t working https://t.co/rX6YYFtlUJ,,,
1.4657799754544415e+18,@KylieSpeak @JustinTrudeau Why would you give your small children an experimental vaccine that does more harm than good in regards to children? I hope they get taken away from you,,,
1.4657328780048876e+18,"@CPHO_Canada @JustinTrudeau #CoronaVirus #CoVid19 @fordnation @celliottability @epdevilla @jyduclos HEROES of DEFIANCE: Australians Getting The Balls To Defy Vaccine Mandates
https://t.co/P4Rt8KA7lT https://t.co/azuUnGATCp",,,
