tweet_id,text,sentiment,labels,ca_related
1.465426416867197e+18,"A nurse who lost both her parents to Covid-19 says she does not regret their decision not to get the vaccine, but that she resents judgment from friends asking why they didn't get the shot: “Some people make us feel like it’s our fault they’re gone.” https://t.co/OuTTpZ5hUW 05",,,
1.4654050041273876e+18,"So now parents don't just have to book time off to shuttle kids to vaccine appointments, they have to apparently spend time at work - or book time off -- sitting on hold to get an appointment.

...why, again, can't we just vaccinate kids in schools? #bcpoli https://t.co/O2eqZoqj8p",,,
1.46540468739448e+18,All I ask is for god to protect me from this vaccine 🙏🏼,,,
1.4654201730206433e+18,"Ok, this headline I have seen everywhere. “Vaccine makers are also mobilizing to respond with updates.” Does it sound like a software update?",,,
1.4654062558796268e+18,"Federal judge blocks Biden vaccine mandate for health care workers in Missouri, 9 other states https://t.co/vCFmyjRsOL",,,
1.4653984175097897e+18,"FormAssembly is the only FedRAMP + HIPAA Compliant web form builder and #datacollection platform, making it the perfect solution for any organization that processes #vaccine forms. Learn more: https://t.co/hTfSxqlggJ https://t.co/IehWRCeu0K",,,
1.4654061291152138e+18,San Diego Student Wins Religious Rights Injunction for District's COVID Vaccine Mandate - https://t.co/Pfafwy3R9Y https://t.co/Q9DcHT7kGf,,,
1.4654138506149356e+18,"Instead of #travel bans, we should work on getting the rest of the world vaccinated against COVID, suggest these scientists who believe that keeping out the variants by shutting borders is wishful thinking. https://t.co/n2TkXwPHL1 https://t.co/3X7bkyBDFy",,,
1.4654075268921016e+18,"Must all just be a coincidence lmao
Couldn't be the vaxx that is the common denominator, could it?
https://t.co/ipDxR5Hwxw",,,
1.465403062697304e+18,The Pasadena Digest gives you all the news you need to know in the Southland for your inbox. https://t.co/CRsutxIr4F,,,
1.4654163220540785e+18,"According to OMB, roughly 87.8 percent of the department’s staff had received at least one dose of the vaccine regimen as of last week. That translates into about 52,000 of the department’s approximately 426,000 staffers lacking a vaccine.
https://t.co/uavCap73HD",,,
1.4654212377782682e+18,NO VACCINE PASSPORTS @OregonGovBrown destroying her state through medical segregation and unconstitutional mandates. #DoNotComply #NoVaccinePassports #SaveOregon #CrimesAgainstHumanity https://t.co/RSQsCGZqI3,,,
1.4653976198161162e+18,let me know when that jonas salk polio vaccine NFT drops,,,
1.4653985893588132e+18,"""CMS seeks to overtake an area of traditional state authority by imposing an unprecedented demand to federally dictate the private medical decisions of millions of Americans. Such action challenges traditional notions of federalism.""

https://t.co/2t27KfAvgm",,,
1.4654197026209874e+18,The Omicron variant has been partly blamed on rich countries and vaccine inequality https://t.co/TsfEaijyFh ⁦@SBSNews⁩,,,
1.465405052189819e+18,"""Health Minister Christine Elliott says that the Ontario government is considering expanding third dose eligibility to more age groups amid concerns about the new Omicron variant and will have “more to say later this week.”
#Ontario
 https://t.co/QmGxgShabG",,,
1.4654069798290227e+18,Children in #HamOnt received a first dose of their COVID-19 vaccine this weekend. Thank you for helping to protect our community! https://t.co/UbB7uzb5do,,,
1.4654006097549353e+18,"The Coronavirus Vaccine Side Effects Poll for ME/CFS and Fibromyalgia https://t.co/VJLrThAr6o Take this poll, especially if you've had BAD side effects. #VaccineSideEffects #vaccinedeaths #vaccinedeath #CovidVaccine #VaccineMandate #Fibromyalgia #ChronicPain #chronicillness",,,
1.4654215577826304e+18,"A federal court previously placed a hold on a separate rule requiring businesses with more than 100 employees to ensure their workers get vaccinated or else wear masks and get tested weekly for the coronavirus.
https://t.co/IDNVp3aTqw",,,
1.4654002494014546e+18,"Foolish developed nations with their vaccines playing vaccine politics with under developed nations without realizing no one in this world is safe from easy transmission of newer &amp; mutating covid strains

A universal vaccine strategy is the ONLY best approach to ending it.",,,
1.4654068740402913e+18,Biden Administration Tells Federal Agencies Not To Suspend or Remove Federal Workers Over Unconstitutional Vaccine Mandate - The Last Refuge https://t.co/63pMTxVftf,,,
1.4654170057801523e+18,See this is why the pandemic continues - there are many who think like this. You can still catch and spread covid so no a vaccine does not make PPE useless https://t.co/T1OEHu8EuQ,,,
1.4654035971858596e+18,Forcing the Covid vaccine on someone else because you believe it will stop the spread of Covid. Is like someone saying their birth control isn’t going to work unless everyone take birth control. The math just not mathing for me.,,,
1.4654119760001147e+18,there are really kids out here who wanna get vaccinated so they can hang out at their friends house and their parents won't let them get the vaccine,,,
1.465405751074173e+18,Federal Judge Halts Biden Vaccine Mandate for Heath Care Workers https://t.co/X4Q3SK8yZA,,,
1.465400586787033e+18,The ineffectiveness of this vaccine is blamed on anti vaxxers 🤣🤣 haybo njani na ngoku.,,,
1.4653988739843236e+18,JCVI advice on the UK vaccine response to the Omicron variant - https://t.co/E20fbA8NLz https://t.co/SqvuoDoPEn,,,
1.4654243237332992e+18,"Movie Theaters Can Attract More Customers With Vaccine Mandates, Lower Ticket Prices, Study Finds
https://t.co/nW3mwcXTFG https://t.co/rUbr8llqRN",,,
1.4654139978895237e+18,"“the only real question is “will the covid vaccine advent calendar be ready in time to be this year’s holiday must have?”

the ""advent"" of omicron booster shots - by el gato malo https://t.co/jmWIIAVPJB",,,
1.4653967213710377e+18,"For the 100th time, the vaccine is not a cure. https://t.co/HPfhB2XVMp https://t.co/zmQBNRplsl",,,
1.4654119579266826e+18,Governor: Legal action leads to pause in federal vaccine mandate for health care workers https://t.co/1oRuNNqXGu,,,
1.465403629377106e+18,"As vaccine immunity wanes, hospitals are reporting a higher number of vaccinated Covid patients. 
41% of hospitalized patients in Massachusetts  are vaccinated (7-day average of hospitalizations is 718; 295 hospitalized patients are breakthrough cases.) 
https://t.co/CIQ6HDoDLo",,,
1.465413672986202e+18,Federal Judge Blocks Vaccine Mandate For Healthcare Workers In Ten States https://t.co/gE23iW9B05,,,
1.4654148006792602e+18,Federal Judge Blocks Vaccine Mandate For Healthcare Workers In Ten States https://t.co/K1q5tcbsWU,,,
1.465417283589845e+18,"Judge Blocks Biden Administration’s COVID-19 Vaccine Mandate for Health Care Workers

https://t.co/MfkcDcV8mD",,,
1.4654187362282086e+18,"The troubling word there is ""believe"". Belief implies religion not science.  Science ought to be rational, understandable and refutable.  It ought to stand up to scrutiny.  Try to question vaccine ideology and you are branded an idiot and a spreader of misinformation https://t.co/XMcZ6iD7de",,,
1.4654157057136435e+18,"Vaccines will be offered at no costs to Teaneck Public Schools students, district officials said. https://t.co/5oYHHKQcD3",,,
1.4654085499624653e+18,"For those who no longer want to remain zombies : 
The VentaviaCovid vaccine Scandal 
https://t.co/OKXkWD0y2Q",,,
1.4654147484057395e+18,"So basically the vaccine that already doesn't work,probably won't work on the new bulllshit fear porn strain either😆😆#Moronic #OmnicronVariant https://t.co/tard8D2E5B",,,
1.4654141944933294e+18,Shares of Covid vaccine manufacturers are rising due to concerns about Omicron variants https://t.co/JlItecp7yA,,,
1.4654223209825034e+18,Free Darwin Award for anyone deciding not to get a vaccine,,,
1.465415358450266e+18,"Butte County Town of Oroville Declares Itself a 'Constitutional Republic' in the Latest Anti-Vaccine Tantrum -
...and I'm the queen of England. https://t.co/yDXfyU7m8Q via @GoogleNews",,,
1.4653981440244326e+18,"First four Omicron cases were all Fully Vaccinated…

According to a public statement by the Botswana government, the new Omicron mutation was first discovered in four people who had received both doses of the COVID vaccine. Meanwhile, Read More @ https://t.co/XncsvozftT https://t.co/cJDFsqtvnC",,,
1.4654023724238848e+18,Is it wrong for me to want ALL the sheep who got the vaccine to get covid and have no immune response?  It’s an ethical dilemma for sure https://t.co/2tao0eiRJy,,,
1.4654103680465142e+18,"Pfizer and Moderna already working on an Omicron variant vaccine. 
Listen: https://t.co/Wl4vIDmz8f or https://t.co/ISiRFDROiY",,,
1.4654152911695094e+18,Omicron Variant Has Covid-19 Vaccine Makers Preparing for Worst Case https://t.co/wnNH5aeyg3 #WSJ https://t.co/RhFVohSQWv,,,
1.4654137598208737e+18,"Parma,Italy.

Protesters are carrying pictures of the vaccine injured and dead to remind Italian politicians they will not tolerate this medical tyranny any more. https://t.co/xqV9zTOtMO",,,
1.4654250528669164e+18,"He had no choice, no one was listening to him MANDATE CAVE: White House Suspends Vaccine Mandate for Fed Employees https://t.co/aKF77IyBv3",,,
1.4654138921677783e+18,"WH Working With Vaccine Makers, FDA To Prepare For Omicron Variant https://t.co/i19qR0X8j4",,,
1.4654113783368294e+18,Omicron Variant Has Covid-19 Vaccine Makers Preparing for Worst Case https://t.co/r5MWGJBQN6,,,
1.4654157604115702e+18,"Biden vaccine rule for health workers blocked in 10
states   https://t.co/uC2mONDcfE   #Sarang #India",,,
1.4654068092341903e+18,Perhaps they just don't want an experimental vaccine every 6 months ! https://t.co/ojWypmkCru,,,
1.465409401804755e+18,Both adultes and adolescents Pfizer mRNA vaccine used phosphate-buffered saline (PBS) but as we now found up the current Pfizer batches uses Tris buffer. No clinical trials were done. This can increase/decrease efficacy/safety for better or for worst! https://t.co/TzdL8ee4xv,,,
1.465410236492231e+18,"We are pleased to host “HPV Vaccine Trends and Role of the Dental Provider in HPV Vaccination: Gaps and Opportunities for Cancer Prevention"" on Fri. Dec. 10th, 12:00-1:00 PM CST for 1.0 CDE. 

Registration is complimentary but required at https://t.co/eiuVq4hu2n. #HPV #HPVvaccine https://t.co/bQWF9ST7B3",,,
1.465404523372032e+18,"UK now recommends 2nd vaccine dose for 12-15 year olds.
https://t.co/EH7ox7BQs7",,,
1.4653999502091264e+18,"New Study Explores if a Vaccine Can Prevent Breast Cancer
New Study Explores if a Vaccine Can Prevent Breast Cancer

Harnessing the immune system to target cancer has long resided on doctors’ wish lists, with very little promise of becoming reality. Beca… https://t.co/zeVyMmt2c5",,,
1.465415199737799e+18,"https://t.co/dIAudNEr0U If this petition gets 100,000 signatures, it will go to the UN Human Rights Council. Support nurses around the world who are responding to Big Pharma's control of vaccine patents - and governments (EU, CH, Norway, Singapore, UK) https://t.co/TeehCSfHeb",,,
1.465409446037885e+18,.@GovKathyHochul says she is not backing down on vaccine mandate for healthcare workers despite staff shortages at certain hospitals. Says she is looking to add personnel with foreign workers and training current members of New York National Guard.,,,
1.4653959217060086e+18,"#C4News leading on latest SA variant - already have my booster lined up, but no guarantee it'll work against the latest. The news says it spreads--and presumably mutates--faster, why other quarantine measures are needed to augment the vaccine.",,,
1.4653996827970355e+18,"#COVIDisAirborne. 
I'd advocate for us all (incl. university staff &amp; #students) help with minimising the risk of spreading #C19. 
It is a mutating airborne virus, hence combo of vaccine (+ boosters), ventilation (!), masks + distancing help to minimise risks.

Lead by example. https://t.co/soVaEoOGtX",,,
1.4654233261473956e+18,"And what about opening them borders after the Beijing Olympics?! Sounds fair and right, 2 years r more than enough, we've had enough! We're vaccinated with your dear vaccine china! What r u waiting for? 

#takeusbacktochina https://t.co/gy2F2uJ6HV",,,
1.465419774666502e+18,"Nothing to see here, folks.

Covid vaccine makers' stocks soar on Omicron variant concerns https://t.co/mS5a8MAFNI",,,
1.4653976582861783e+18,https://t.co/GxCACCUlTZ White House Quietly Delays Vaccine Mandate As Another Federal Judge Objects,,,
1.465418770722214e+18,"According to Kelly, her vaccine just doesn't work unless everyone else gets vaccinated. https://t.co/OsNU3NLLNl",,,
1.4654017946291528e+18,honestly i wouldnt be as mad about all these ni restrictions with vaccine passports if the methods of obtaining them MADE SENSE AND WORKED,,,
1.4654155590346834e+18,"Amid mounting fear over the new SARS-COV2 variant Omicron, an expert committee on Covid immunisation is considering to recommend an “additional dose” to those who are immunocompromised or are elderly and at high risk of infection or death due... https://t.co/JKA4RRqLec",,,
1.465398092375675e+18,"BREAKING #HEALTHCARE NEWS:  the E.D. of #Missouri just enjoined the #CMS #vaccine #mandate in in MO, NE, AK, KS, IA, WY, AL, SD, ND, and NH. Stay tuned. 

Sorry, my #Ohio healthcare clients. It's status quo for you. You should continue good-faith efforts…https://t.co/0sYbe6OlpQ",,,
1.4653976072247788e+18,"The emergence of #omicron spotlights the need to boost vaccine access in low-income countries - as discussed last month at our conference on #IP &amp; #COVID19 medications, co-hosted w/@HKUniversity, @oneillinstitute, @GeorgetownCAL &amp; @GtownTechLaw. https://t.co/3XYS0niNLx",,,
1.4654215359094538e+18,"Movie Theaters Can Attract More Customers With Vaccine Mandates, Lower Ticket Prices, Study Finds https://t.co/b00Oy85b3y",,,
1.4654155366705605e+18,"Predicted by @OldMooresAlmana for 2022 - Covid passports will become a way of life and people who don’t want to have the vaccine will form their own communities and start whole new towns based around their values. #Ireland You read it here first!
https://t.co/7jDLnCcJOt",,,
1.4653985043360236e+18,Get the vaccine but it is unclear if the vaccines work against Omicron. More science up in here..... https://t.co/vzQ09bPriD,,,
1.4654182490096148e+18,"A lot of Delphi technique going on at the moment. Vaccine passports will not be introduced anytime soon. The threat of it however, will get you to concede your position to something slightly less threatening...for another generation to deal with",,,
1.4654084529356472e+18,"Republican Dismisses Vaccine on Fox News, Praises It on CNN in Breathtaking Flip Flop https://t.co/3URQyRRRoH via @Yahoo",,,
1.4654155131069563e+18,This text service makes it easy to find a COVID vaccine or booster near you &amp; even a ride if you need one! #COVID19NC https://t.co/jxT7wet29d,,,
1.4653961868446966e+18,We don’t know anything about it yet…but Pfizer and Moderna say they expect to have new vaccine for omicron variant any day now! Bet it will work great,,,
1.4654058956056945e+18,"unless you live in the state of texas, no vaccine, testing, or quarantine requirements 🇺🇸 https://t.co/Uf0ZMKEhpw",,,
1.4654032039318856e+18,Australia's word of the the year is phonetically satisfying  — and very frustrating. https://t.co/LlPx0Qr7o0,,,
1.4654159468272722e+18,Why you need a vaccine when your body can fight it https://t.co/lyPRnLkfTq,,,
1.465426351708586e+18,"As of November 27, 61.6% of Sacramento County residents have been fully vaccinated, meaning they have received both doses of Pfizer or Moderna, or one dose of the Johnson &amp; Johnson vaccine.

More updates ➡️ https://t.co/sqPwduYX4u https://t.co/uvCzhKId2P",,,
1.4654109963657871e+18,The news so depressing I don’t even watch it. I’m so tired of hearing about covid it’s a new variant every week. That’s why that vaccine is bullshit .,,,
1.4654179930605036e+18,"The new mask mandate is an official admission that the vaccine has failed.
Where we go from here I don't know.
Letting blood?
Leeches? https://t.co/4jbvZAWfj5",,,
1.4654081287075308e+18,"House Minority Leader Jim Townsend, R-Artesia, on mask and vaccine requirements for entering Roundhouse. 

""I think we just ought to recognize that most people don't need some politician telling them what they need to do in order to make tge right decision."" #nmleg",,,
1.4653994977024e+18,"Where's #Florida on this list, @GovRonDeSantis? Please get us on this list. #desantis

https://t.co/fBdR9E1a2X",,,
1.4654061631309292e+18,Everyone be scared the moronic variant of covid is out and the vaccine doesn't stop it. Nor did it ever stop anything but let's get another covid shot and everyone stay away from friends and family and live in fear for the rest of your lives !!,,,
1.465400239637119e+18,"State championship #delhs football info. All 4 games at UD. 11am Class 2A; 1:30 Unified; 3:30 Class 3A; 6:00 Class 1A. 1 tix good for all 4 games: $10 GA, $20 for club seats. On sale next week through UD. Proof of vaccine or neg Covid test within 72 hours required for entry.",,,
1.465414672585089e+18,"TONOPAH COVID-19 Vaccine Clinics on Tuesdays, PAHRUMP clinic on Wednesday. Booster doses and flu vaccines available.  

Pfizer (ages 5+), Moderna (18+) and the 1-dose Janssen (18+) will be available at all vaccine clinics. 

See flyer for details
@ImmunizeNV @NVHealthRespon1 https://t.co/2mlfYh47EB",,,
