tweet_id,text,sentiment,labels
1.4650739806337556e+18,@slbell59 @JustinTrudeau You obviously are living in the twilight zone! Blood thinners added to the children’s vaccine to try to cover up known heart problems!,,
1.465060993155928e+18,@Michaela20212 @abbigailhannah @celliottability @douglasdowney @JustinTrudeau @DavidLametti They have to pass the bill that the Libs are introducing. It applies both to HCW and to patients entering hospitals or vaccine clinics or abortion clinics. It will make this illegal.,,
1.4650544524911657e+18,@wendibloomenth1 @JustinTrudeau Turn the news off is like taking a vaccine that protects for life.,,
1.465049400279978e+18,"@B1llyTh2K3d @RepThomasMassie @NIH @US_FDA @FDA_Drug_Info @RadioCanadaInfo @catturd2 @CathieDWood @CPHO_Canada @GovCanHealth @mikalche And it goes very well with the DELAY of a Superior and more desired Vaccine. 
Very much so. 
Relevant. 
#COVAXIN",,
1.4650472376256184e+18,@RachaelThomasMP @MarkGerretsen @JustinTrudeau He’s too dumb to realize much of anything but basically what he saying is true and VAX mandates and passports are useless especially with this very leaky vaccine.,,
1.465045523421872e+18,"@JustinTrudeau The fact that you continue to ignore all the data on blood clots linked to COVID-19 vaccines and push these unknown mystery jabs on Canadians makes you guilty of reckless homicide on every single death associated with the vaccine. Make no mistake, you will go to prison!
#Trudeau https://t.co/4HmeEIoK7O",,
1.4650347297790484e+18,"@CPHO_Canada Bharat Biotech, said, “If ICMR isolates the South African strain, we can easily re-engineer the Covaxin to neutralise the South African strain in 15 days. One just has to switch the strain to get a new version of the vaccine.”https://t.co/BTR4l6zYUe",,
1.4650340486072934e+18,"@mazdacanada If you have any clout with @JustinTrudeau or whoever it is that rules him tell him to stop making it impossible for us to run a small business.  Between his unnecessary vaccine mandates and selling us out to you know who, there won’t be any small businesses left to rebuild.",,
1.4650228687361188e+18,"@Roman_Baber @JustinTrudeau @fordnation Oh I'll tell you why they won't let go. They are scared an investigation into this whole thing woll show the very lie in the middle! The very guys who started this were the very guys who magically created the ""vaccine"" that doesn't work really has a purpose. Depopulation!",,
1.4650196133437932e+18,"@CPHO_Canada WHERE are the safety studies for the C-19 vaccine in pregnant women, Tam??",,
1.4650146841810452e+18,"@JustinTrudeau Hundreds of federal employees are being fired because of your vaccine mandates. They are refusing it because they don't trust you, your administration or the corporation's making the vaccines.

All things considered, their mistrust is warranted. You are the biggest problem.",,
1.4650141184447775e+18,@JustinTrudeau Stop with the mask and vaccine mandates already.  They don't work just like you don't work.  Canada is ready to get back to normal and ready to have a REAL leader lead us.  RESIGN!!!!!!!!!!!!!!!!,,
1.4650084319080817e+18,@31Charlie1 @Thesorrynotsor1 Most #sheep just nod yes master and get the #jab. Regardless of their masters #vaccine status. Ugh. Makes me sick. @JustinTrudeau is the #virus,,
1.4650058001460552e+18,@joe_warmington @JohnTory @fordnation @epdevilla @CPHO_Canada That makes no sense. Delta’s here. Covid 19 is here. Why wait until another vaccine comes out (who knows when) to protect the community now? Today’s case count does not reflect Omicron. It reflects what’s happened in the past two weeks.,,
1.4650050219264082e+18,"@brianlilley @kinsellawarren @JustinTrudeau Go ahead keep pushing the anti- vaxxer line Bryan you might be amazed that over half of your readers are unvaccinated, or do not support vaccine restrictions.",,
1.4650040706666043e+18,"@brianlilley @JustinTrudeau Here is some good travel news. With a PCR test, Unvaccinated Canadians can fly with non Canadian airlines to destinations that do not require a vaccine passport. Same for returning to Canada. Hopefully this will hurt Canadian airlines &amp; force a change in vaccine travel mandates.",,
1.4649937028839096e+18,@CPHO_Canada How come so many deaths from the Covid vaccine?  Why are you not talking about this? https://t.co/vB38Qz1T77,,
1.464990263240106e+18,@CPHO_Canada Nothing says transparency like threatening doctors and illegal searching them. https://t.co/qV32S4wzuN,,
1.46498862930287e+18,@JustinTrudeau How do you build middle class etc. Qith increased spending do nothing taxes payroll tax increases other taxes inflation forced mandates on a almost do nothing vaccine?,,
1.464988590207869e+18,"@JustinTrudeau What does celebrating “carefully” (x2) mean?  Can you forward the various rules about social gatherings, distancing, fines, masks, vaccine mandates, imprisonment, and then re-evaluate in the context of what Channukah is really about …",,
1.4649837306577756e+18,@CPHO_Canada You must have missed the news that post vaccine miscarriages are up by 25% in one Ontario jurisdiction alone. Stop the fake news. Your policies are mass murder and a crime against humanity.,,
1.4649823627150377e+18,"@CPHO_Canada 1.3 billion Indian population 8000 cases #COVAXIN Vs #mRNA 39 million 23,000 active cases,on top disposal of moderna vaccine n Pfizer due to short life. #COVAXIN 6 month n at room temperature.
Why not allowing #COVAXIN explain to Canadian people who elected you. @BatJordan🙇🏻‍♂️🙇🏻‍♂️🙇🏻‍♂️ https://t.co/kYy5t9dicz",,
1.4649805489092485e+18,"@CPHO_Canada Open the borders to Omicron. Fast spreading with extremely mild symptoms, open up fully and remove the mask mandate. This is nature's vaccine",,
1.4649803835529134e+18,@CPHO_Canada In the report approval from health Canada it clearly states that unless your kid has an underlying issue there is no need for this vaccine. Read the report people before you run to vaccinate child. Oh and also make sure you review the risks like myocarditis that doesn’t go away.,,
1.4649799419849236e+18,"@PhilippusArabus @slbell59 @JustinTrudeau Then you cannot call it a VACCINE,  it's just a SHOT or JABB.",,
1.4649782595782124e+18,"@JustinTrudeau The vaccine is effective for the corona omicron strain.
We should trade more and more with priority given to the economy with allies rather than isolation.
It should coexist with the corona.
If you get the vaccine, it won't get worse.",,
1.4649759128525455e+18,"@slbell59 @JustinTrudeau They have a new flu shot every year for those that have a week immune system the vaccine that they are rolling out are not in any way being updated and or changing to spearhead a variant the vaccine they are serving up has nothing to do with the virus, everything to do with fear",,
1.4649728429829448e+18,"@BobRae48 And Ontario is throwing out massive quantities (just recently, 1,000,000+) of vaccine by not using them and letting them expire.  It's unconscionable. Maybe The federal government needs to monitor supply and claw it back to send abroad if it's not being used. @JustinTrudeau",,
