,text,sentiment,labels,ca_related,day,filter_type
,"If you are concerned about life as @GovernmentZA why do you accept abortion?
Why are you concerned only if it's vaccine?
Make service delivery mandatory first @PresidencyZA
@PublicProtector vaccine is a choice....",pos,covid-controversy,non-ca,01_dec,keyword
,"God WAS sending you a message, dipstick:
ROLL UP YOUR SLEEVE AND GET THE VACCINE.
Side effect of the vaccine-soreness at the injection site.
Side effect of not getting a vaccine, see below. https://t.co/ldi2lpVa3u",pos,vax-efficiency,na,01_dec,keyword
,"i try to be diplomatic w/ folks i disagree with. i know it's fun to be a dick, but that's really all it is; it changes nothing. 

having said that, i would pay green money to get a picture of me receiving the vaccine from @BarackObama, with Fauci in the background cheering https://t.co/zPvDjtdR3A",pos,covid-controversy,non-ca,01_dec,keyword
,Philippines Says COVID Variants Highlight Need for Local Vaccine Development | World News https://t.co/Wa0ODQjEuK,pos,pandemic-logistics,na,01_dec,keyword
,"A quick reminder, the #GoVAXX bus will be at the Petrolia Farmers' Market on Dec. 1, from 12 noon to 5 p.m. to offer Pfizer COVID-19 vaccine. Vaccine supplies are limited. 

Learn more: https://t.co/v19vxoSlKI https://t.co/92xdoawfR4",pos,pandemic-logistics,non-ca,01_dec,keyword
,"The Health Ministry has announced its  first third-dose vaccine marathon in Lebanon for people aged 50 and older with the goal of reinforcing their immune system against “COVID-19 and its variants.”: 

https://t.co/dVJ4NpHQzI",pos,pandemic-logistics,non-ca,01_dec,keyword
,"40+? Protect yourself &amp; reduce your chances of ending up in hospital this winter by getting your Covid-19 #booster jab. Book your booster now (boosters are given 6 months after your 2nd dose)
https://t.co/JtamoKwcTa https://t.co/eCdxkm3t5K",pos,pandemic-logistics,na,01_dec,keyword
,"Well, this was totally expected.

Anti-Vaccine Televangelist Marcus Lamb Dies Of COVID-19 at 64 https://t.co/DFpxTwphQE",pos,covid-controversy,na,01_dec,keyword
,"A vaccine clinic will be open at @FiservForum this Saturday from 10am-2pm. @MKEhealth says the  first clinic was successful; administering 309 doses of the vaccine, 149 of which to children.",pos,pandemic-logistics,non-ca,01_dec,keyword
,"Young people who catch the virus can develop long-term symptoms, including prolonged shortness of breath, fatigue, &amp; headaches. Getting vaccinated protects you from spreading the virus to people around you, like your friends &amp; family. For more information: https://t.co/1l4JBkCmUu https://t.co/5uPTQrT2d5",pos,covid-controversy,na,01_dec,keyword
,$MRK Merck's Pneumococcal 15-valent Conjugate Vaccine Under Priority FDA Review For Use In Kids,pos,pandemic-logistics,non-ca,01_dec,keyword
,.@POTUS @BorisJohnson @emmanuelmacron @palazzo_chigi @EUCouncil @RegSprecher @JPN_PMO @JustinTrudeau the 🌍 needs #COVID vaccine access now. Step up to ensure #VaccineJustice for all by sharing all promised doses through COVAX by the end of 2021. https://t.co/rApGrh6Ora,pos,pandemic-logistics,non-ca,01_dec,keyword
,"this is so cool!! using a vaccine to induce a reaction, rather than actually treat a disease! https://t.co/QxzEuS8KfJ",pos,vax-efficiency,na,01_dec,keyword
,"#Vietnam allows extending shelf life of two #Pfizer-BioNTech #COVID19 vaccine batches
https://t.co/wriwejQrEL",pos,pandemic-logistics,non-ca,01_dec,keyword
,"Worth mentioning that New York pushed for vaccine mandates for many types of employers, requires New Yorkers to wear masks on the subway, and requires proof of vaccination to go to sporting events, movies, etc... https://t.co/AxgSypZB0x",pos,pandemic-legal,non-ca,01_dec,keyword
,"A really very sad story - and a remind of why getting vaccinated is so important.

The life and tragic death of John Eyers – a fitness fanatic who refused the vaccine https://t.co/jSRnqxwdfo",pos,covid-controversy,na,01_dec,keyword
,"""Let us be clear: to deny lifesaving healthcare anytime, but particularly during a global health crisis, is unacceptable.""

https://t.co/5s1OqqqmxF via @commondreams",pos,covid-controversy,na,01_dec,keyword
,"How many people did he kill with his  broadcasts for  anti-lockdown and anti-vaccination?
#GetVaccinatedNow 
 https://t.co/hUfNXqod7p via @Yahoo",pos,covid-controversy,na,01_dec,keyword
,J.D. Vance: ‘Shut Down the Government Until Vaccine Mandate Ends‘ https://t.co/ll0wpthHXi via @BreitbartNews,pos,pandemic-legal,non-ca,01_dec,keyword
,"As of: Wed Dec 1 06:46:27 2021

Appointments found at CVS locations in San Diego!

Schedule here:
https://t.co/2f80GMQQ8o",pos,pandemic-logistics,non-ca,01_dec,keyword
,"and now you wine and complain because you almost died 3 times because you caught covid.  No, you almost died 3 times because you didn't get the vaccine and look at you now.  Don't expect people to do what you didn't do. https://t.co/7d3uET0t09",pos,covid-controversy,na,01_dec,keyword
,im sry but today i wont be streaming due to my third vaccine. not feeling well. so i will see if we can back on it tomorrow and keep climbing,pos,vax-efficiency,na,01_dec,keyword
,"It’s so frustrating to think that so many people are still refusing the covid vaccine. It’s easy to think this is all over from the outside, but hospitals all over the country are flooding with people. Ones like mine that don’t even have ROOM. We are drowning over here.",pos,covid-controversy,na,01_dec,keyword
,I’m bummed to have had to postpone my booster covid vaccine shot. The next appointment is in 2 weeks. 😐,pos,pandemic-logistics,na,01_dec,keyword
,"Dear @CharlieBakerMA,
Please rollout a vaccine passport program in MA, and require vaccinations for all who wish to dine indoors, go to the movies, bowl, visit cultural centers, sporting events, concerts, etc. We too can hit 90% and you can prevent countless deaths.
Thanks,
Me https://t.co/sjyYv3rK32",pos,pandemic-logistics,na,01_dec,keyword
,"""..Delta variant ..symptoms ..coughs, headaches, sore throats.."": https://t.co/9hfEGeY7uK ""..Pfizer CEO ..need to get vaccinated against the coronavirus annually.."": https://t.co/tGF1XKE1WS ""..to save the world from a global crisis ..The Emergency.."": https://t.co/NC8gtAEclK https://t.co/gIbuFhXSi1",pos,vax-efficiency,na,01_dec,keyword
,"PCRHS will be hosting its second COVID-19 vaccine clinic next Wednesday, Dec. 8th for those who would like to receive their second dose or booster shot. Register for your appointment: https://t.co/I2xyMrgEum https://t.co/QKhYTUej6q",pos,pandemic-logistics,na,01_dec,keyword
,"Those with 2 #vaccine doses only to be allowed to malls, theatres, parks. Check on offices for vaccinated staff to intensify:@BBMPCOMM @BBMPSplHealth 
@NewIndianXpress @XpressBengaluru @santwana99 @KannadaPrabha @NammaBengaluroo @DHFWKA @citizensforblr @namma_BTM @BAFBLR",pos,pandemic-logistics,na,01_dec,keyword
,Shoutout to the Custer County Oklahoma Health Department. They have had vaccine pods in motion all over the western half of the state since the vaccines became available. Thank you for seeing about all of us in this godforsaken place.  https://t.co/VoZYgKVLHW,pos,pandemic-logistics,non-ca,01_dec,keyword
,"Here’s how to get a booster vaccine, walk-in clinic, or by appointment https://t.co/qkcWmUCl8l via @nbc4i @danpearlman",pos,pandemic-logistics,na,01_dec,keyword
,BioNTech CEO says vaccine likely to protect against severe COVID from Omicron https://t.co/T5W2qBNLxD via @cp24,pos,vax-efficiency,na,01_dec,keyword
,"Lamb: God, why didn’t you protect me?

God: Fool, I sent you a me-damned vaccine. https://t.co/igDq9Vk3pE",pos,covid-controversy,na,01_dec,keyword
,Greece imposes monthly fines of 100 euros on the over-60s who refuse a Covid vaccine - CNBC https://t.co/wRZBpGcI5x,pos,covid-controversy,non-ca,01_dec,keyword
,My heart rate is always higher when exercising the day after a vaccine. Proof it’s working! Our immune systems are so amazing 🙌,pos,vax-efficiency,na,01_dec,keyword
,Call me cynical but they gained a massive boost in the polls for their previous vaccine programme. Probably the only thing they've done well (albeit with a massive effort from others). Surely their motivation isn't mostly political? https://t.co/Z55DLgZaIr,pos,covid-controversy,na,01_dec,keyword
,the sexy person urge to keep up with your vaccine boosters https://t.co/CP665oNzCQ,pos,pandemic-logistics,na,01_dec,keyword
,if you don’t wanna take the vaccine that’s fine but at least wear a fucking mask….??? https://t.co/deeotVulAK,pos,pandemic-logistics,na,01_dec,keyword
,"Republicans hoping to shove more people into the grave - like recently deceased head of @Daystar #MarcusLamb - by deceiving people about importance/safety of vaccine mandates. Must be some reason they want to get rid of loony, deluded #GOPers...but WHY? https://t.co/dKGCLcWNPT",pos,covid-controversy,na,01_dec,keyword
,"Africa lags behind, not only due to vaccine access issues, but also well-founded mistrust. Trust and access must be built simultaneously - with the emphasis on rebuilding trust.

Tracking Coronavirus Vaccinations Around the World https://t.co/cqeoOVn4bG 
1/",pos,covid-controversy,non-ca,01_dec,keyword
,Pfizer’s Covid-19 vaccine was 100% effective in kids in longer-term study https://t.co/Nb89bt5tJ5 via @statnews,pos,vax-efficiency,na,01_dec,keyword
,MANDATE CAVE: White House Suspends Vaccine Mandate for Fed Employees https://t.co/1V1txR233g,pos,pandemic-legal,non-ca,01_dec,keyword
,"Well said, well written, ⁦@kathysheridanIT⁩ 👏🏻 the aggression, sense of entitlement and lack of manners and patience shown  by many in this country is truly breathtaking - Complaints over vaccine queues a sad reflection on entitled, negative public https://t.co/9KgczoTL9g",pos,covid-controversy,na,01_dec,keyword
,"Europe aims at sharing at least 700 million doses of vaccines by mid-2022 with low- and middle-income countries. We are investing heavily in vaccine manufacturing in Africa,” said President von der Leyen at the World Health Assembly this morning.
https://t.co/B30GXYuX8z https://t.co/fUv9qTgFf1",pos,pandemic-logistics,non-ca,01_dec,keyword
,"ZERO TOLERANCE: #Pentagon chief #LloydAustin says #NationalGuard members who refuse to get #vaccinated won't be allowed to train, affecting pay and Guard status
@politico
-Southern politics are on the menu at ChickenFriedPolitics.com-
https://t.co/zifGyyDgcA",pos,pandemic-logistics,non-ca,01_dec,keyword
,"The @WHO warns that while many uncertainties remain about the Omicron variant, its emergence shows the #COVID19 pandemic is clearly not over yet.

""The longer vaccine inequity persists, the more opportunity this virus has to spread and evolve.""

https://t.co/4jfUz5WyFf",pos,covid-new-variant,na,01_dec,keyword
,"Today after reaching Dillibari &amp; Deroi Tea Garden of the Tingkhong constituency, as part of the #HarGharDastak campaign to accomplish 100% vaccination, visited the ongoing covid vaccine camp at the local Anganwadi Centre.

1/2 https://t.co/NNtSUVcoLB",pos,pandemic-logistics,non-ca,01_dec,keyword
,"Marcus Lamb, a prominent Christian broadcaster known for his outspoken opposition to COVID-19 vaccines, has died after contracting the virus.

https://t.co/M2xO49bccB https://t.co/KZ1XdS1EmF",pos,covid-controversy,na,01_dec,keyword
,I recently had a minor hospital procedure. Every single healthcare worker told me they were vaccinated. I cannot tell you how much comfort that gave me as I had to take off my mask so that I could be anesthetized. #COVID19 #GetVaccinated #VaccineMandate https://t.co/V1MpCYpJFh,pos,covid-controversy,na,01_dec,keyword
,"Good morning. Daily advice
1) Stop listening to/getting your information from know-nothing politicians
2) Listen to the scientific/medical consensus and ask us (the doctors/scientists) about the vaccine

#GetVaccinated, #WearAMask, and have a good day",pos,covid-controversy,na,01_dec,keyword
,"Free @krispykreme vaccine doughnut #175! If you get vaccinated today, you’ll build more and more immunity every day before your second dose around Christmas! It’s like an advent calendar whose last box contains a week’s worth of free doughnuts! Get vaxxed! https://t.co/1OV67QIJo3",pos,covid-controversy,na,01_dec,keyword
,loading up a bunch of blow darts with vaccine doses and indulging people who don't wear masks,pos,covid-controversy,na,01_dec,keyword
,🇺🇦 government is disposing of million doses of the vaccine instead of allowing Ukrainians to be vaccinated with a booster dose. And all this is happening against the background of the spread of the strain Omicron in Europe. Why do 🇪🇺 &amp; 🇺🇸 revaccinate their citizens but 🇺🇦doesn't?,pos,pandemic-logistics,non-ca,01_dec,keyword
,It’s wonderful to see peoples Prince Harry entreat for a PEOPLES VACCINE .,pos,pandemic-logistics,non-ca,01_dec,keyword
,Pfizer plans to apply for FDA authorization this week for a booster COVID-19 vaccine for 16- and 17-year-olds. https://t.co/GaT1hEeuIS,pos,pandemic-logistics,na,01_dec,keyword
,Does AstraZeneca's COVID vaccine give longer-lasting protection than mRNA shots? via @TC_Africa https://t.co/wBJaaxBvYf,pos,vax-efficiency,na,01_dec,keyword
,"Three Covid vaccine doses 'enough to protect against omicron variant', early research suggests.

Israel's health minister says 'there is no need for panic' adding those people given valid vaccinations 'are most likely protected.

https://t.co/hpT35xu08h",pos,vax-efficiency,non-ca,01_dec,keyword
,"New @NatureImmunol paper from @TaoDongGroup highlights how a T cell response to the viral nucleoprotein can shape COVID disease severity. 

They suggest that the nucleoprotein could be a useful target for future vaccine design.

https://t.co/0kiucW8o0g",pos,vax-efficiency,na,01_dec,keyword
,"Over the summer into this fall, new #COVID19 cases have been on the rise. 175 new cases in Nov. mirrors numbers seen in Spring 2021. Be cautious this holiday season to protect loved ones.
 ✅Get your vaccine or booster
 ✅Keep gatherings small
 ✅Get tested https://t.co/ZIli4Tb44x",pos,vax-efficiency,na,01_dec,keyword
,Group of 7 (G7): End COVID19 Vaccine Injustice now! Vaccine delayed is a vaccine denied! - Sign the Petition! https://t.co/SjMb4guu4Y via @ChangeorgSA,pos,pandemic-legal,na,01_dec,keyword
,"Book your free flu or COVID-19 vaccine on 2 December for maximum protection while spending time with loved ones this festive season.

Check your eligibility and find out how to book at https://t.co/3bonQDZyBi https://t.co/LRMsXvHkRh",pos,pandemic-logistics,na,01_dec,keyword
,"latest: Serum Institute of India has sought from India's drug regulator DGCI approval for Covishield as a booster dose citing adequate stock of the vaccine in the country and a demand for a booster shot due to the emergence of new coronavirus variants, official sources said.",pos,pandemic-logistics,non-ca,01_dec,keyword
,"Anti-vaccine Christian broadcaster Marcus Lamb dies from Covid-19
#Science will save most of you, #Religion will save none of you. https://t.co/c8js1h0f5O",pos,covid-controversy,na,01_dec,keyword
,This is what every nation with sufficient supply of #vaccine should do. https://t.co/K1t7qWsow6,pos,pandemic-logistics,na,01_dec,keyword
,"The best way, in my opinion, to overcome vaccine resistance is to listen to the reasons.

I found out that some people are actually afraid of being injected with the virus. A reassurance of what is in the current covid vaccines can help.

A 1 shot vaccine preferably.",pos,covid-controversy,na,01_dec,keyword
,"$GOVX $GOVXW GeoVax Presents COVID-19 Vaccine Data at the World Vaccine &amp; Immunotherapy Congress
https://t.co/wZCzfCdp0B",pos,pandemic-logistics,na,01_dec,keyword
,"Booster shots today could fight omicron tomorrow 
Don’t expect ⁦@FoxNews⁩ viewers.. https://t.co/Zs8B6aHG6F",pos,vax-efficiency,na,01_dec,keyword
,"These crap ass and they call themselves trash transphobic, ableism, sexist, and homophobic, and they won't get vaccinated cause their terrified of whatever demons are in their head and they spread vaccine hesitancy all around the world, people are tired of them, but compassion ok",pos,covid-controversy,na,01_dec,keyword
,"Moundsville Pharmacy’s immunization team was in full character as Flora, Fauna, and Merryweather - collectively known as the Three Good Fairies from Sleeping Beauty - providing COVID vaccine boosters to the Marshall County Schools team.
#cpesnwv
#flipthepharmacy https://t.co/W04Nr3lHjy",pos,pandemic-logistics,non-ca,01_dec,keyword
,"To help plan for safe travels this holiday season, @bxchen shares some of the simplest ways to carry your Covid-related health data, including vaccine passports and test results, on a smartphone. https://t.co/WEAwNp8YsD",pos,pandemic-logistics,na,01_dec,keyword
,"My patience with the unvaccinated is wearing so thin. I friend who has just got the booster said they understand people being nervous because ‘this vaccine… was it rushed, was it tested enough, we don’t know what’s in it’. 

Me just like…and they have had the jab! https://t.co/1gH9P4OVBb",pos,covid-controversy,na,01_dec,keyword
,"📣A pop-up #Covid19 vaccine clinic is taking place tomorrow (Thurs 2 Dec) at Wardleworth Community Centre, 1pm-3pm. First #Pfizer for residents aged 16+, or second if 8 weeks or more since your first dose. No appointment needed. https://t.co/hHcGGEyv6q https://t.co/f5CJpXu0KC",pos,pandemic-logistics,na,01_dec,keyword
,"The #Covid19 #Vaccine Latest Updates in the #UAE 
#ChoosetoVaccinate
#TogetherWeRecover
#اللقاح_طريقنا_للتعافي https://t.co/XIj6O2sycq",pos,pandemic-logistics,non-ca,01_dec,keyword
,"#EconWatch: Unsurprisingly, #SouthAfrica and #Botswana have low vaccination rates and high Omicron case rates. Low vaccine rates in developing countries are primarily a function of government incompetence &amp; the locals mistrust of government. https://t.co/bAi5mIpCsU",pos,pandemic-logistics,non-ca,01_dec,keyword
,"Karma is a bitch.
Marcus Lamb, head of Daystar, a large Christian network that discouraged vaccines, dies after getting covid-19

https://t.co/iqZFxN2mz3",pos,covid-controversy,non-ca,01_dec,keyword
,"National Guard troops refusing vaccine will lose pay, Pentagon says, in warning shot to GOP-led states https://t.co/28J3FQwSJR",pos,covid-controversy,non-ca,01_dec,keyword
,"Excellent point. How can anyone claim to want to protect the sanctity of life and sit on their hands with this issue? I’ll go one further than he did, how can anyone defend the sanctity of life yet oppose Covid vaccines, and outlaw vaccine mandates? @brad_dickson @janekleeb https://t.co/Dfd5Dqb8Fj",pos,covid-controversy,na,01_dec,keyword
,Federal Judge Expands Healthcare Worker Vaccine Mandate Injunction to Apply Nationally - https://t.co/0eg3dqsNCc,pos,pandemic-legal,na,01_dec,keyword
,"Swiss Re Institute experts have cautioned that vaccine inequity, along with uneven vaccination rates even in countries with lots of shots, add to pandemic risks like the emergence of new variants. They're keeping an eye on Omicron. https://t.co/UFWEMD3tw1 https://t.co/5O4AbY7inE",pos,pandemic-logistics,non-ca,01_dec,keyword
,"Three Covid vaccine doses 'enough to protect against omicron variant', early research suggests https://t.co/Pz5PP9Znef",pos,vax-efficiency,na,01_dec,keyword
,"Jacob, age 6, marched right up to the counter, gave his name and address, and said, ""I've decided to get my COVID-19 vaccine because I just really want to be safe!"" 👍

The CVC—located inside @MallatJC—is open Tues – Thurs from 11 a.m. to 6 p.m.. Walk-ins welcome! #ThisIsOurShot https://t.co/iR4VnaBL5i",pos,covid-controversy,non-ca,01_dec,keyword
,"CNBC cites a study published in Science that immunity from one RNA-spike protein vaccine dropped from 86% to 43% from February to October and another RNA-spike protein vaccine from 89% to 58%, while an Adenovirus vector vaccine fell from 86% to 13%. RT",pos,vax-efficiency,ca,01_dec,keyword
,"Global vaccine inequity: Only around 5 percent of people living in low-income countries have gotten even a single #vaccine dose, according to the Kaiser Family Foundation. (via @nytimes) #covax #Covid19",pos,pandemic-logistics,na,01_dec,keyword
,"""It's time to admit that we have to go to war against COVID,"" Cramer said on his business program ""Mad Money"" on Monday. ""Require vaccination universally. Have the military run it.""
CNBC host suggests nationwide vaccine mandate: 'Have the military run it' https://t.co/xVQMgQkLSx https://t.co/gucIRhv9Gm",pos,pandemic-legal,ca,01_dec,keyword
,"Founder Of Anti-Vaccine Christian TV Network Dies After COVID-19 Fight
https://t.co/l6UA72XMxI Another deniar demise?",pos,covid-controversy,na,01_dec,keyword
,Televangelist Marcus Lamb Who Called Vaccine Mandate 'Sin' Against God Dies Of COVID https://t.co/GkR9c4qN43,pos,pandemic-legal,non-ca,01_dec,keyword
,"Governor Hochul Announces First Round of Winners for New 'Vaccinate, Educate, Graduate' Vaccine Incentive Program for 5- To 11-Year-Olds to win a Full SUNY or CUNY Scholarship
https://t.co/gZJxwykvuN",pos,pandemic-logistics,non-ca,01_dec,keyword
,I got my second vaccine shot and that shit gave me pneumonia fuck that covid shot shit,pos,vax-efficiency,na,01_dec,keyword
,"Booster vaccine doses will be available on the NHS for people most at risk from COVID-19 who have had a 2nd dose of a vaccine at least 6 months ago.
Vaccination will help to protect you and your loved ones. The more people are vaccinated the better things will be.#boosterjab https://t.co/LRvwIApQ6L",pos,pandemic-logistics,na,01_dec,keyword
,"During this season of giving, remember that getting a vaccine is one of the best gifts you can give yourself, your family &amp; friends, and your community! https://t.co/1faD03TPhn https://t.co/aEFI1Cuxlz",pos,pandemic-logistics,na,01_dec,keyword
,"Much research remains to be done in order to ascertain the potential #vaccine resistance of the #omicron #variant, but it certainly seems prudent to get a #booster now before this gets ahead of us. We have got to finally learn the lessons of this #pandemic.",pos,covid-controversy,na,01_dec,keyword
,"CMS COVID-19 Vaccine Mandate For Staff On Hold Nationwide. Medicare providers should continue to prepare to have policies and procedures ready so that if the government’s arguments prevail, they can quickly implement them. 
https://t.co/ItIBzKrrYG",pos,pandemic-legal,na,01_dec,keyword
,EU vaccine rollout for 5 to 11-year-olds brought forward https://t.co/Zkp3VGG2nD via @BBCNews,pos,pandemic-logistics,non-ca,01_dec,keyword
,"I saw a post earlier about someone claiming that they aren't sharing the death figures for unvaccinated people and its some sort of cover up.
I did 30 seconds of googling...Get the vaccine dummies #COVID19 https://t.co/biYVkunvfJ",pos,covid-controversy,na,01_dec,keyword
,I’m seeing so much Vaccine slander on my TL… just a friendly reminder to you airheads https://t.co/uMqNcOVtMg,pos,covid-controversy,na,01_dec,keyword
,Growing number of Texas Republicans want 4th special session to pass COVID-19 vaccine mandate ban #SmartNews  https://t.co/SsaHanamXV,pos,pandemic-legal,na,01_dec,keyword
,"People are arguing that the vaccine saving lives for a virus with an already high 99% survival rate is the reason to take it. 
Excuse me while I go bash my fucking head-in in order to understand their reasoning.",pos,vax-efficiency,na,01_dec,keyword
